1,1,Epsilon* [Alliance Data Systems Corp.'s Epsilon],"Irving, Texas","$897,741",9.4
2,2,Acxiom Corp.,"Little Rock, Ark.","656,076",5.3
3,3,DraftFCB* [Interpublic],Chicago/New York,"536,650",0
4,5,BBDO Worldwide* [Omnicom],New York,"495,000",10
5,9,SapientNitro* [Sapient Corp.'s SapientNitro],Boston,"450,400",28.7
6,4,McCann Erickson Worldwide* [Interpublic],New York,"450,000",-0.2
7,6,Leo Burnett Worldwide/Arc* [Publicis],Chicago,"449,000",1.8
8,7,Rapp* [Omnicom],New York,"416,786",10.7
9,12,Digitas* [Publicis],Boston,"400,000",20.6
10,10,Edelman [Daniel J. Edelman],Chicago,"383,425",9.8
11,11,Y&R* [WPP],New York,"370,000",9
12,8,JWT* [WPP],New York,"358,000",0.5
13,14,Weber Shandwick* [Interpublic],New York,"354,000",10.6
14,13,Wunderman* [WPP],New York,"340,757",5
15,15,Razorfish* [Publicis],New York,"330,000",4.1
16,16,Euro RSCG Worldwide* [Havas],New York,"315,700",3.6
17,17,TBWA Worldwide* [Omnicom],New York,"311,000",4.7
18,18,Fleishman-Hillard* [Omnicom],St. Louis,"310,500",5.6
19,20,Merkle,"Columbia, Md.","303,000",19.3
20,19,DDB Worldwide* [Omnicom],New York,"296,711",12.6
21,NA,inVentiv Health*,"Burlington, Mass.","293,673",NA
22,21,OgilvyOne Worldwide* [WPP],New York,"262,550",4.6
23,22,Starcom USA* [Publicis],Chicago,"257,175",14.3
24,NA,IBM Interactive* [IBM Corp.'s IBM Interactive],Chicago,"255,000",NA
25,24,Rosetta* [Publicis],"Hamilton, N.J.","250,000",20.8
26,23,Saatchi & Saatchi* [Publicis],New York,"235,620",10
27,26,Grey* [WPP],New York,"230,000",20.2
28,27,GSI Marketing Services* [eBay's GSI Marketing Services],"King of Prussia, Pa.","226,700",19.4
29,31,R/GA* [Interpublic],New York,"220,000",25.7
30,28,Ketchum* [Omnicom],New York,"218,000",17.8
31,30,OMD Worldwide* [Omnicom],New York,"209,304",14
32,39,Mindshare Worldwide* [WPP],New York,"202,717",27.4
33,25,Burson-Marsteller* [WPP],New York,"200,000",0
34,29,CDM Group* [Omnicom],New York,"192,351",4.5
35,45,MarketStar* [Omnicom],"Ogden, Utah","180,000",20
35,32,Meredith Xcelerated Marketing [Meredith Corp.'s Meredith Xcelerated Marketing],Des Moines,"180,000",4
37,35,MEC* [WPP],New York/London,"177,552",5.4
38,42,Zenith Media USA* [Publicis],New York,"177,000",17.2
39,36,Ogilvy & Mather Advertising* [WPP],New York,"176,400",5
39,38,Hill Holliday* [Interpublic],Boston,"176,400",6
