AGENCY,PARENT,2015 US REVENUE,% CHG
GMR Marketing* ,Omnicom,138713,0.7
UM* ,Interpublic,134599,6.3
Zimmerman Advertising* ,Omnicom,133876,10
Organic* ,Omnicom,131262,3
Cramer-Krasselt,Independent,131149,-9.8
Momentum Worldwide* ,Interpublic,127536,0.9
Martin Agency* ,Interpublic,126008,4.2
Droga5,Independent,126000,61.5
72andSunny* ,MDC Partners,124432,20.6
Octagon* ,Interpublic,124291,0.3
Ansira,Independent,124041,7.9
Meredith Xcelerated Marketing ,Meredith Corp.,124000,-5.3
Proximity* ,Omnicom,123449,3
Golin* ,Interpublic,123401,7.9
OMG Entertainment & Sports* ,Omnicom,123066,25
Trailer Park ,Engine Group,123000,7
Jack Morton Worldwide* ,Interpublic,122180,-3.3
Ogilvy Public Relations* ,WPP,121000,4.9
Critical Mass* ,Omnicom,121000,17.5
GHG/GreyHealth Group* ,WPP,120000,10
Gyro*,Independent,117000,2.6
KBS* ,MDC Partners,115154,11
Digitas Health LifeBrands* ,Publicis,115000,0
RPA,Independent,113000,7.6
CDM New York* ,Omnicom,112326,10
Moxie* ,Publicis,110247,-8.9
Assembly* ,MDC Partners,110175,12
Initiative* ,Interpublic,109721,5
Klick,Independent,109152,8.1
McCann Health* ,Interpublic,108624,14.1
TBWA/WorldHealth* ,Omnicom,108078,-1.1
Isobar* ,Dentsu,107010,23
Campbell Ewald* ,Interpublic,103767,-8.5
Sudler & Hennessey* ,WPP,103430,6.6
Arnold Worldwide* ,Havas,102500,7.9
Intouch Solutions,Independent,101765,32.5
Goodby Silverstein & Partners* ,Omnicom,99607,-8.3
Harrison & Star* ,Omnicom,96684,8.5
Cohn & Wolfe* ,WPP,96423,16.3
TracyLocke* ,Omnicom,96252,0.7
Doner* ,MDC Partners,95475,-8.6
PHD* ,Omnicom,95340,0
iProspect* ,Dentsu,94726,-2
Derse*,Independent,94478,2.5
Team One* ,Publicis,92466,14
Huntsworth Health* ,Huntsworth,92065,24.1
TMP Worldwide Advertising & Communications,Independent,91816,6.1
Innocean Worldwide,Independent,91270,4.6
Group360 Worldwide*,Independent,90000,12.5
W2O Group,Independent,88468,16.9
Brunswick Group*,Independent,88250,25
EPAM Systems,Independent,85754,15.9
Javelin Marketing Group* ,Omnicom,85450,6.7
Wasserman Media Group*,Independent,85280,19.6
Targetbase* ,Omnicom,84117,0.7
MRY* ,Publicis,84000,-16
GSD&M* ,Omnicom,83050,-1
Spark* ,Publicis,82777,17.6
Global Experience Specialists* ,Viad Corp.,82520,-0.5
Mirum* ,WPP,82251,9.7
Porter Novelli* ,Omnicom,81893,-0.6
MKTG* ,Dentsu,81615,10
WE Communications,Independent,80044,-8.6
Landor* ,WPP,80000,3.7
Blast Radius* ,WPP,79943,4.5
Resolution Media* ,Omnicom,78412,30.3
22squared,Independent,76646,2
Periscope,Independent,74380,7
VSA Partners,Independent,73769,-7.6
Ivie & Associates,Independent,72809,26
SourceLink,Independent,72800,9
AbelsonTaylor,Independent,72092,13.2
Merkley & Partners* ,Omnicom,71000,6.2
OMG Outdoor Media Group* ,Omnicom,70102,8.1
HelloWorld*,Independent,70000,0
Optimedia International U.S.* ,Publicis,69791,12.8
FTI Consulting (Strategic Communications)*,Independent,67828,5.6
SMG Performance Marketing* ,Publicis,67038,11.8
Finn Partners,Independent,66634,5.5
Apco Worldwide,Independent,66152,-4.2
DDB Health/DDB Remedy* ,Omnicom,66037,8.5
Marketing Store,Independent,65897,14.6
Team* ,MDC Partners,65000,0
Tribal Worldwide* ,Omnicom,64900,9.1
PMK-BNC* ,Interpublic,63503,15.5
PureRed,Independent,63153,15.9
Anomaly* ,MDC Partners,62343,21
Glover Park Group* ,WPP,61934,0
Saatchi & Saatchi Wellness* ,Publicis,61905,19
Moroch Partners,Independent,61519,11.6
Neo@Ogilvy* ,WPP,61164,19.4
Acronym,Independent,60850,21.2
Siegel & Gale* ,Omnicom,59504,19
Performics* ,Publicis,58460,20
Code and Theory,Independent,58000,NA
Allen & Gerritsen,Independent,57436,0
CDMiConnect* ,Omnicom,56591,12.1
Rauxa,Independent,56460,-5.3
ICR,Independent,56209,10.8
Havas PR* ,Havas,55800,NA
Mars Agency,Independent,55009,1.4
Rockfish* ,WPP,55000,41
Deep Focus ,Engine Group,54783,19.2
MWWPR*,Independent,54000,0.9
Marketing Werks*,Independent,53976,-11.1
Barkley,Independent,53790,15.6
Fusion Marketing,Independent,53600,7.2
TPN* ,Omnicom,53370,7.8
Sard Verbinnen & Co.*,Independent,51830,8.9
Healthcare Consultancy Group* ,Omnicom,51232,5.7
Essence* ,WPP,50903,32.2
Paradysz & PM Digital,Independent,50202,9.5
Brierley & Partners*,Independent,50000,11.1
Publicis Life Brands Medicus* ,Publicis,50000,0
Impact XM,Independent,49620,6.9
GMMB* ,Omnicom,49500,-10
R&R Partners,Independent,49040,-0.3
Russ Reid Co.* ,Omnicom,48784,0.7
Ackerman McQueen,Independent,48074,2.5
Carmichael Lynch* ,Interpublic,47783,8.5
DKC,Independent,46950,13.1
Ruder Finn*,Independent,46400,0.1
R2C Group,Independent,45800,3.5
M&C Saatchi,Independent,45333,81.3
Publicis Health Media* ,Publicis,45000,50
Kobie Marketing,Independent,45000,77.6
Media Storm*,Independent,44506,0
U.S. International Media*,Independent,44036,0.9
GlobalHue*,Independent,43946,-13.5
Sandbox Group,Independent,43876,18.7
Allied Integrated Marketing*,Independent,43741,7.9
Magna Global* ,Interpublic,43734,15
Vizeum* ,Dentsu,43312,45
Pepperjam,Independent,42300,NA
BVK,Independent,42250,10
Ayzenberg Group,Independent,42050,31.4
The Bloc,Independent,41726,-8.1
Didit,Independent,41478,32.5
Marc USA ,Eastport Holdings,41207,-5.1
Allison & Partners* ,MDC Partners,41000,29.2
Sparks*,Independent,40872,4.2
EG+ Worldwide* ,Omnicom,40597,0.7
Finsbury* ,WPP,40000,0.8
CMI/Compas*,Independent,39552,32.3
Greater Than One,Independent,39200,35
HackerAgency* ,Interpublic,38792,4.2
FutureBrand* ,Interpublic,38534,13.3
Colle & McVoy* ,MDC Partners,38500,1.3
Discovery USA* ,Publicis,38000,0
Big Fuel Communications* ,Publicis,37553,2.4
David & Goliath,Independent,37400,11.3
Bartle Bogle Hegarty* ,Publicis,37246,0
Razorfish Health* ,Publicis,37000,-7.5
Mercury Media*,Independent,36380,0
McKinney ,Cheil Worldwide,36200,6.8
CMD,Independent,36148,10.6
Venables Bell & Partners,Independent,36000,-7.7
Eric Mower & Associates,Independent,35791,-1.3
PadillaCRT,Independent,35670,7.4
Anderson Direct & Digital,Independent,35608,4.7
Marina Maher Communications* ,Omnicom,35512,0.6
Cramer,Independent,35500,36.5
AgencyRx* ,Omnicom,35499,-23.7
Zeno Group ,DJE Holdings,35421,25.2
Knock,Independent,35274,13.3
Doremus* ,Omnicom,35231,3.4
Saatchi & Saatchi X* ,Publicis,35022,2.4
Swirl*,Independent,35000,16.1
Mother New York ,Mother Holdings,35000,6.1
Kinetic* ,WPP,34805,2.5
MCD Partners ,M&C Saatchi,34750,6.9
Bader Rutter & Associates,Independent,34668,-3.2
Concentric Health Experience* ,MDC Partners,34660,43.1
MMGY Global,Independent,34493,6.2
Matomy* ,Matomy Media Group,34232,3.5
Grizzard Communications Group* ,Omnicom,33975,0
Bernstein-Rein Advertising,Independent,33867,-9.7
R2integrated,Independent,33654,18.4
Wire Stone,Independent,33500,14.2
BFG Communications,Independent,33453,-18.5
Lopez Negrete Communications,Independent,33438,-21
Brodeur Partners*,Independent,33354,0
Translation*,Independent,33169,-8.7
Giant Creative Strategy,Independent,33000,-29.8
Laughlin Constable,Independent,32900,15.4
Conill* ,Publicis,32853,-4.8
Fallon* ,Publicis,32852,5
Lewis,Independent,32845,17.7
Adcom Group,Independent,32811,-7.1
180 Amsterdam/180LA* ,Omnicom,32724,15
Alma* ,Omnicom,32677,15
Tukaiz,Independent,32563,-24
CDM Princeton* ,Omnicom,31422,0
Davis Elen Advertising,Independent,31297,3.2
Fahlgren Mortine,Independent,31189,5.1
CCG Marketing Solutions*,Independent,31000,0
Healthwork* ,Omnicom,31000,NA
Orion Holdings* ,Interpublic,30392,2
Pop* ,Advance Publications,30364,-8.5
Bravo Group* ,WPP,30270,-5.4
Grayling* ,Huntsworth,30251,-19.8
T3,Independent,30204,-0.6
Mekanism,Independent,30193,20
LatinWorks* ,Omnicom,30119,-16.4
WongDoody,Independent,30000,0
Heartbeat Ideas* ,Publicis,30000,50
ID Media* ,Interpublic,29960,7
Blue State Digital* ,WPP,29856,6.6
Fitch* ,WPP,29599,6.6
Firstborn* ,Dentsu,29535,1
Eleven,Independent,29305,-3.9
Women's Marketing,Independent,29000,NA
Pereira & O'Dell,Independent,29000,20.8
Elite SEM*,Independent,28500,39.7
A.B. Data,Independent,28462,5
RevHealth,Independent,28000,21.7
Jellyfish,Independent,28000,150
Martin Williams* ,Omnicom,27604,3
Butler Shine Stern & Partners,Independent,27573,-2.3
Text 100 ,Next Fifteen Communications Group,27511,10.7
Coyne Public Relations,Independent,27000,17.3
BrunnerWorks,Independent,27000,-7.2
Access Emanate Communications* ,Omnicom,26976,1.8
Adelphi Group* ,Omnicom,26930,8.5
Jackson Marketing Group*,Independent,26600,-2.4
OutCast Agency ,Next Fifteen Communications Group,26000,4
Carrot Creative*,Independent,26000,60.8
M Booth ,Next Fifteen Communications Group,25546,35.5
Red Interactive Agency*,Independent,25531,17.4
Dieste* ,Omnicom,25500,20
Cadient*,Independent,25500,0
Revolution,Independent,25350,12
Switch*,Independent,25251,-10.6
Empower MediaMarketing,Independent,25000,0
Biolumina* ,Omnicom,25000,0
Grupo Gallegos,Independent,25000,-3.8
Vitro* ,MDC Partners,24900,3.3
Regan Communications Group*,Independent,24547,-3.6
Guild,Independent,24500,8.9
Alcone Marketing* ,Omnicom,24257,-4.1
MicroMass Communications,Independent,24200,4.3
DiD,Independent,24000,50
Tapestry* ,Publicis,23838,-5.7
Dailey* ,Interpublic,23633,-8.8
Closerlook*,Independent,23600,10.3
Kern* ,Omnicom,23488,5
The Search Agency*,Independent,23288,8
John McNeil Studio,Independent,23249,5.4
Walton Isaacson,Independent,23218,10.4
Racepoint Global,Independent,23120,12.5
Argonaut ,Project WorldWide,23000,109.1
Fuseideas,Independent,23000,2.7
Inter/Media Advertising*,Independent,22900,3.2
Connelly Partners,Independent,22841,6
Barbarian Group ,Cheil Worldwide,22821,4.8
EVB*,Independent,22545,0
Space150,Independent,22378,46.5
Taylor,Independent,22348,3
Entree Health New York* ,Omnicom,22217,2
Avrett Free Ginsberg* ,Interpublic,22199,0
Upshot,Independent,22000,-7.2
Work & Co.,Independent,22000,73.2
LMO Advertising,Independent,21973,48.5
Laird & Partners* ,MDC Partners,21927,0
Gravity Media,Independent,21909,-1.6
Stamats,Independent,21895,3.6
Archer Malmo,Independent,21800,-5.6
Scoppechio*,Independent,21792,0.3
MV42* ,Publicis,21659,-3.5
Legacy Marketing,Independent,21657,-0.4
Casanova Pendrill* ,Interpublic,21500,22.9
5W Public Relations,Independent,21467,13.2
MMB*,Independent,21441,-10
Fingerpaint,Independent,21268,4.5
Tierney* ,Interpublic,21100,8.5
Sigma Group*,Independent,21000,0
Slingshot Companies*,Independent,21000,NA
GlynnDevins Advertising & Marketing,Independent,20996,6.7
Mastermind Involvement Marketing,Independent,20750,6.4
Schafer Condon Carter,Independent,20721,4.8
Sterling-Rice Group,Independent,20700,17.6
Hunter Public Relations* ,MDC Partners,20675,2.1
Shift Communications,Independent,20433,10.8
Via Agency,Independent,20400,-14.5
Roberts & Langer DDB* ,Omnicom,20213,-3.1
Mono* ,MDC Partners,20077,52.9
Big Spaceship,Independent,20000,33.3
Source* ,MDC Partners,20000,-20
Flashpoint Medica* ,Omnicom,19989,0
Fitzgerald & Co.* ,Interpublic,19942,23.5
Cone Communications* ,Omnicom,19694,-0.6
Tombras Group,Independent,19600,24.8
Rise Interactive,Independent,19323,38.7
Frank Agency,Independent,19300,4.1
Osborn Barr,Independent,19239,-13.5
Agency 720* ,Omnicom,19228,4
Wpromote,Independent,19226,10.6
Underground Elephant*,Independent,19200,19.5
Adams & Knight,Independent,19193,-3
Zubi Advertising Services,Independent,19000,0.5
Fathom,Independent,19000,2.4
Peppercomm,Independent,18790,10.8
Roundhouse*,Independent,18700,38.5
Duncan/Channon,Independent,18500,12.8
LiveArea,Independent,18473,18.5
McGarrah Jessee,Independent,18472,0.4
Burrell Communications Group* ,Publicis,18427,1.4
Crossmedia*,Independent,18315,17.9
Rodgers Townsend* ,Omnicom,18000,0
HL Group* ,MDC Partners,17668,-2.5
Direct Partners* ,Omnicom,17597,0.7
Elias/Savion Advertising,Independent,17593,12
Natrel*,Independent,17439,23.3
SparkPR*,Independent,17425,0
LeadDog Marketing Group,Independent,17396,-11.3
TM Advertising* ,Interpublic,17394,0
Serino/Coyne* ,Omnicom,17328,-1.5
Sullivan Higdon & Sink,Independent,17253,7.4
Camelot Strategic Marketing & Media,Independent,17205,27.4
Risdall Marketing Group*,Independent,17117,-4.6
Cole & Weber* ,WPP,17100,50
Omelet,Independent,17000,-38.4
Mitchell Communications Group* ,Dentsu,16955,1.6
Muhtayzik Hoffer,Independent,16838,53.7
Sullivan,Independent,16723,2.6
HY Connect,Independent,16717,31.4
Gatesman & Dave,Independent,16643,21.3
Trisect,Independent,16620,-14.5
SBC Advertising ,Eastport Holdings,16578,17.3
Riester,Independent,16552,-11.7
Pitch ,Project WorldWide,16500,1.9
Iconmobile* ,WPP,16500,20.4
BKV,Independent,16500,7.1
PMG,Independent,16500,73
H&L Partners,Independent,16455,-3.8
Genuine* ,Interpublic,16343,18.2
Trozzolo Communications Group,Independent,16213,3.2
Y Media Labs* ,MDC Partners,16200,80
Republica,Independent,16200,11.7
Sanders/Wingo,Independent,16180,-5
Palisades Media Group*,Independent,16138,12.7
Godfrey Q,Independent,16100,-8
Marcus Thomas,Independent,16083,-22.8
Gelia,Independent,16074,15.9
The Community* ,Publicis,16043,21.8
Converseon*,Independent,16000,10.3
Partners & Napier ,Project WorldWide,16000,0
Eveo*,Independent,16000,0
TBC,Independent,15950,3.6
KHJ Brand Activation,Independent,15850,3.9
Beeby Clark & Meyler,Independent,15700,12.1
GKV,Independent,15698,-4.2
Brand Union* ,WPP,15658,10.4
AdAsia Communications,Independent,15609,-4.8
LaunchSquad,Independent,15580,19.7
Chandelier Creative*,Independent,15577,3.8
Imagination,Independent,15356,3.6
SSCG Media Group* ,Omnicom,15294,10
Sundog,Independent,15237,-5.6
Zambezi,Independent,15080,-10.8
Carol H. Williams Advertising,Independent,15069,9.6
Berlin Cameron* ,WPP,15000,0
Luckie & Co.*,Independent,15000,0
Sequence*,Independent,14974,17.2
Lapiz* ,Publicis,14971,11.5
Rasky Baerlein Strategic Communications,Independent,14854,4.4
Butler Till Media and Communications,Independent,14800,34.5
Sawtooth,Independent,14750,-2
Makovsky,Independent,14650,1
IMRE,Independent,14560,8.6
UniWorld Group* ,WPP,14527,-11.2
Mx Group,Independent,14516,-5
LaneTerralever,Independent,14500,3.6
Mortenson Safar Kim,Independent,14432,34.2
Amusement Park*,Independent,14430,4
Traction,Independent,14300,30
Lippe Taylor*,Independent,14288,1.3
Intermark Group,Independent,14242,1.1
Stream Companies,Independent,14110,20.2
Response Mine Interactive,Independent,14098,25.1
Cooney/Waters Unlimited ,Creston,14021,-9.2
HCB Health*,Independent,14000,0
Rain Agency,Independent,14000,9.4
Relevent* ,MDC Partners,14000,0
Power Agency,Independent,13947,-5.4
True North,Independent,13935,12
Woodruff Sweitzer,Independent,13900,11.2
Icuc Social* ,Dentsu,13872,2
Rokkan* ,Publicis,13870,2.4
MullenLowe Profero* ,Interpublic,13857,30
JPL,Independent,13794,-4.5
Citizen Relations ,BlueFocus Communication Group,13749,-15.9
Beauty at Gotham* ,Interpublic,13701,-36.4
Phelps,Independent,13639,3.5
Lockard & Wechsler Direct,Independent,13610,-2.9
Oneupweb,Independent,13500,12.5
David Stark Design & Production,Independent,13500,31.1
Callahan Creek,Independent,13483,5.8
Iris Worldwide ,Cheil Worldwide,13481,-20.5
Buntin Group,Independent,13460,-4.9
Modco Group,Independent,13340,1.9
Stern Advertising*,Independent,13330,4.9
St. John & Partners,Independent,13302,26.6
Doe-Anderson,Independent,13277,17.6
Ologie,Independent,13207,8.4
Hanley Wood Marketing,Independent,13181,-0.5
O'Keefe Reinhard & Paul,Independent,13000,209.5
Definition 6*,Independent,13000,0
Liquid Agency,Independent,12988,-23.3
Johannes Leonardo* ,WPP,12961,20.9
Nelson Schmidt,Independent,12954,-0.1
Bodden Partners,Independent,12910,-1.4
Posterscope* ,Dentsu,12800,0
Boathouse Group,Independent,12750,1.2
Company of Others,Independent,12700,-4.5
RF Binder Partners,Independent,12700,0.8
Proof Advertising,Independent,12572,11.6
Broadstreet Productions,Independent,12489,7.8
Wednesday* ,Omnicom,12418,50.2
Terri & Sandy,Independent,12300,66.2
Tenthwave Digital,Independent,12269,-8.4
Marca Miami ,Eastport Holdings,12221,-0.3
Strategic America,Independent,12217,5.3
FKQ Advertising & Marketing,Independent,12152,14.4
DMW Direct,Independent,12127,-12
InVNT ,Time Inc.,12109,12
Planit,Independent,12009,34.3
Clarity Coverdale Fury,Independent,12000,0
Yamamoto* ,MDC Partners,12000,50
PJA Advertising & Marketing,Independent,12000,-7.7
Sensis,Independent,11936,31.7
Cardenas Marketing Network,Independent,11908,NA
Southwest Media Group* ,Eastport Holdings,11750,13
IW Group* ,Interpublic,11639,3
Seiden Group,Independent,11600,22.8
Michael Walters Advertising*,Independent,11571,0
Hook Studio,Independent,11500,0
De la Cruz Group,Independent,11436,12
Hunt Adkins,Independent,11310,2
Fuse,Independent,11265,2.3
Hanson*,Independent,11250,-5.9
Ab&c Creative Intelligence,Independent,11240,2.2
Fetch* ,Dentsu,11070,21.4
Anthology Marketing Group,Independent,11059,-0.9
Hiebing,Independent,11019,6.9
Communica,Independent,11000,0
Fly Communications,Independent,11000,4.8
Cibo Global,Independent,11000,22.2
Triple Threat Communications,Independent,11000,4.8
InterTrend Communications,Independent,11000,6.8
Bohan Advertising,Independent,10967,2.8
Godfrey,Independent,10925,-0.3
Hawthorne Direct,Independent,10891,29.1
Push,Independent,10800,-9
Lewis Communications*,Independent,10769,2.6
PM3,Independent,10682,18.7
Cardinal Path* ,Dentsu,10667,44.6
Interlex Communications,Independent,10535,112.6
Camp & King,Independent,10500,23.5
Admerasia,Independent,10500,-4.5
Current Marketing* ,Interpublic,10500,1.9
Kaplow Communications*,Independent,10444,-3.9
Hello Design* ,MDC Partners,10268,21.4
Team Epiphany,Independent,10182,42.1
Somnio,Independent,10114,96.6
Crosby,Independent,10055,-3.7
Axis Agency* ,Interpublic,10039,-0.4
TDW & Co.,Independent,10015,31.8
Luquire George Andrews,Independent,10006,6.8
Noble Communications,Independent,10000,-2.9
Magnetic Collaborative,Independent,10000,31.6
Kastner & Partners,Independent,10000,25
Siltanen & Partners,Independent,10000,0
BPN* ,Interpublic,9924,6.2
Ymarketing,Independent,9875,24.5
Mindgruve*,Independent,9754,1.4
Chemistry,Independent,9640,-1.6
GreenRubino,Independent,9610,24.4
D Exposito & Partners,Independent,9607,1.6
Sub Rosa*,Independent,9572,-17.4
PriceWeber Marketing Communications,Independent,9503,20.4
Pollinate,Independent,9500,6.7
Mythic*,Independent,9473,3.3
Hart,Independent,9374,15.7
Larry John Wright,Independent,9360,67.1
Zehnder Communications,Independent,9324,-2.1
Peter A. Mayer Advertising,Independent,9292,-56.5
iStrategyLabs,Independent,9210,39
Zocalo Group* ,Omnicom,9201,0
Northlich*,Independent,9200,0
Muse,Independent,9170,17.6
Martino Flynn,Independent,9108,9.7
Dynamit,Independent,9000,55.2
Noble People,Independent,9000,125
Triptent,Independent,9000,50
Brighton Agency,Independent,8979,-23.3
Revana Digital,Independent,8875,-32.9
Badger & Winters,Independent,8737,-26
Simple Truth,Independent,8704,-5.2
Strikeforce Communications,Independent,8700,4.8
SMZ,Independent,8700,-1.1
Acento Advertising,Independent,8667,0.2
Bateman Group,Independent,8643,28.9
Bayshore Solutions,Independent,8638,1.9
Beyond Marketing Group,Independent,8612,0
Taxi* ,WPP,8579,31.9
PulseCX*,Independent,8571,-4.8
Moveo,Independent,8567,5.2
Daniel Brian Advertising,Independent,8532,27.3
Digital Pulp,Independent,8500,2.4
Catalyst,Independent,8500,0
Arke Systems,Independent,8470,4.7
DWA,Independent,8462,64.1
Kovel/Fuller*,Independent,8391,-1.3
Stein IAS,Independent,8316,17.1
Springbox,Independent,8312,44.3
People Ideas & Culture,Independent,8300,188.8
AHA,Independent,8300,2.5
Source Communications*,Independent,8262,0
Aaaza,Independent,8250,25
Syzygy* ,WPP,8240,114.4
Nemo Design*,Independent,8200,32.3
Media Horizons,Independent,8074,8.4
Vladimir Jones,Independent,8029,-8.6
Launchpad Advertising,Independent,8000,0
Karsh Hagan,Independent,7978,4.2
Marden-Kane Digital Promotions,Independent,7975,-3
Roberts Communications,Independent,7946,10.5
Next Marketing,Independent,7937,-10
Rx Mosaic Health* ,Omnicom,7920,8.5
Kwittken* ,MDC Partners,7900,14.5
LevLane*,Independent,7800,14.4
Madwell,Independent,7753,68.8
Preston Kelly,Independent,7750,3.3
Curiosity,Independent,7740,29.9
Charleston/Orwig,Independent,7711,-10.4
Slack & Co.*,Independent,7700,0.6
TaCito Direct,Independent,7697,-10.4
Babcock Jenkins,Independent,7600,-33.3
Nail Communications,Independent,7564,22
New Honor Society* ,Interpublic,7534,5
Downtown Partners* ,Omnicom,7500,-10
Bozell*,Independent,7500,0
Gregory FCA,Independent,7500,10.3
EGC Group,Independent,7500,0
Questus,Independent,7500,-28.6
One North Interactive*,Independent,7491,11.6
Threespot,Independent,7471,2.1
BusinessOnline,Independent,7464,2.4
Baker Street Advertising*,Independent,7413,4
Mirrorball,Independent,7400,15.6
Pavone Marketing Group,Independent,7307,5.9
Rabinovici & Associates,Independent,7297,23.7
Bandy Carroll Hellige,Independent,7295,12.2
Farm,Independent,7290,13.9
Chempetitive Group,Independent,7251,34.2
Adrenaline,Independent,7244,11.4
Cactus,Independent,7216,8.9
Airfoil Group*,Independent,7200,0.4
Stone Ward,Independent,7122,0
DNA Seattle,Independent,7060,1.4
Struck,Independent,7057,-4.5
Brooklyn Brothers* ,Interpublic,7000,-1.4
Solve,Independent,7000,29.6
Orci,Independent,7000,16.7
Walker Sands,Independent,6917,51.8
Lloyd & Co.*,Independent,6900,-8
Borshoff,Independent,6871,-13.7
Wing* ,WPP,6849,-18.2
Safari Sundays*,Independent,6796,22.5
Lopito Ileana & Howie,Independent,6791,5.5
Advantage International* ,Interpublic,6735,4.6
Kelliher Samets Volk,Independent,6700,12.6
Mortar*,Independent,6686,0
CDM Los Angeles* ,Omnicom,6685,-18.6
Barker Advertising and Interactive,Independent,6644,10.2
Three Deep,Independent,6644,2.5
Ansible* ,Interpublic,6628,12
Media Logic,Independent,6620,6.1
MBLM Advertising*,Independent,6593,-7.1
White64,Independent,6575,6
PanCom International*,Independent,6560,9.5
Dodge Communications,Independent,6555,8.1
Apollo Interactive,Independent,6500,-3.7
The Variable,Independent,6436,98.1
MediaMorphosis,Independent,6383,-4.2
Red Square Agency,Independent,6375,2.2
Dae Advertising,Independent,6360,24.2
Battery,Independent,6300,425
M/C/C,Independent,6202,1.7
StudioNorth,Independent,6100,10.9
Liquid Interactive,Independent,6014,21.2
Copacino & Fujikado,Independent,6000,5.7
Sprocket Media,Independent,6000,-50
Standard Time,Independent,6000,100
Modern Climate,Independent,6000,-37.3
Luxe Collective Group,Independent,6000,20
Cashman & Katz Integrated Communications,Independent,5985,2
Shine United,Independent,5950,4.4
Full Contact,Independent,5800,16
TDA Boulder,Independent,5780,18.4
Chernoff Newman,Independent,5757,-1.1
Communications Strategy Group*,Independent,5757,8.5
Sockeye,Independent,5750,5.6
Mintz & Hoke,Independent,5735,-6.5
Public Communications,Independent,5724,-5
Portent*,Independent,5700,0
Imaginuity Interactive,Independent,5700,6.5
Spawn Ideas,Independent,5696,-2.6
GRP Media,Independent,5650,7.6
Centigrade,Independent,5650,-34.3
LRXD,Independent,5617,26.2
Footsteps* ,Omnicom,5583,-14.3
CooperKatz & Co.,Independent,5581,16.5
Renavatio Healthcare Communications,Independent,5580,-4.6
L3 Advertising,Independent,5500,37.5
