Twitter Handle,Twitter ID,Full Name,Person/Company,Number of followers,Number of friends,Number of total tweets,Description,Location (raw),Profile Image URL,Insider Score,Listening,Emergence Score,Age of account (days),Tweets per day,First Name,Last Name,Location (continent),Location (country),Location (region),Location (sub_region),Related Website,Insider Blogs,StackOverflow,Instagram,Pinterest,YouTube,Google+,SlideShare,LinkedIn,Quora,AngelList,Facebook,Community Id,Community Name,Facebook ID
strataconf,167169119,O'Reilly Strata,company,25348,3226,10257,Data news + resources from @OReillyMedia. #StrataHadoop conferences: San Jose | London | NY | Singapore,"New York, USA",http://pbs.twimg.com/profile_images/520829863049977859/2llHb4o7_normal.jpeg,234,162,0.127179613,1851,5,,Strata,North America,United States of America,New York,,http://strataconf.com,,,,,,,,http://ie.linkedin.com/in/mhausenblas,,,,2,,
InformaticaCorp,17350542,Informatica Corp.,company,53994,40406,12875,Informatica Corporation is the world’s number one independent provider of data integration software.,"Redwood City, California",http://pbs.twimg.com/profile_images/3747265557/72e602a718a9cc1eed74bd1b6308470c_normal.jpeg,231,232,0.094288212,2461,5,,Corp.,North America,United States of America,California,Los Angeles,https://www.informatica.com/,,,,,http://youtube.com/user/informaticacorp,,,http://www.linkedin.com/pub/mike-olson/10/210/b66,,,,4,,
VentureBeat,60642052,VentureBeat,company,531994,1480,62846,We bring you news on what matters in the tech business world.,San Francisco + NYC,http://pbs.twimg.com/profile_images/615577992815882240/Iap3Di46_normal.png,228,6,0.103958681,2204,28,,VentureBeat,North America,United States of America,California,San Francisco,http://www.venturebeat.com,,,,http://www.pinterest.com/venturebeat,,https://plus.google.com/117155347316171564123,,http://www.linkedin.com/in/jolieodell,,http://www.angellist.com/604629,http://www.facebook.com/507244621,3,,
hortonworks,288500051,Hortonworks,company,91310,284,4349,"We do Hadoop. Hortonworks develops, distributes and supports the only 100% open source distribution of Apache Hadoop.","Santa Clara, CA",http://pbs.twimg.com/profile_images/3433297168/f1b6f0596bdda20a9142b0c4ad23dc11_normal.png,226,30,0.145348635,1566,2,,Hortonworks,North America,United States of America,California,,http://www.hortonworks.com,http://feeds.feedburner.com/hortonworks/feed,,,http://www.pinterest.com/hortonworks,,,,http://uk.linkedin.com/in/tonivicars,,,,1,,
tamaradull,15612251,Tamara Dull,person,8808,5996,11574,Director of #EmergingTech at @SASBestPractice. Focus: #bigdata #Hadoop #privacy #IoT #datalake. It’s a big data world out there. Now let’s be safe.,"Los Angeles, CA",http://pbs.twimg.com/profile_images/551888954576752640/L7rYwyIv_normal.jpeg,225,205,0.087919624,2570,4,Tamara,Dull,North America,United States of America,California,Los Angeles,http://tamaradull.com,http://tamaradull.com/feed/,,,http://www.pinterest.com/tamaradull,http://youtube.com/user/TamaraDull,https://plus.google.com/107398756297615989513,,http://www.linkedin.com/in/tamaradull,,,http://www.facebook.com/527076237,4,,
Rick345,20476532,Rick Sturm,person,15426,10630,10357,"CEO Enterprise Management Assoc., author of 6 IT books Tweet on: #BI, #BigData, #IoT #ITSM, #SLM, Love the outdoors, & world travel. Quelquefois en français.","Boulder, Colorado",http://pbs.twimg.com/profile_images/1227426859/Copy_of_P3132185_normal.jpg,215,213,0.091066837,2372,4,Rick,Sturm,North America,United States of America,Colorado,Denver,http://www.emausa.com/about/team/Rick_Sturm.php,,,,,,,,http://www.linkedin.com/in/ricksturm,,,,4,,
dpatil,14839109,dj patil,company,27657,1129,10915,Follow me at @dj44 for official tweets. Views are my own here.,"Washington, DC",http://pbs.twimg.com/profile_images/568201113938034688/ECBK2RgP_normal.jpeg,209,42,0.079561767,2638,4,,patil,North America,United States of America,District of Columbia,Washington,http://www.linkedin.com/in/dpatil,,,,http://www.pinterest.com/dpatil,,https://plus.google.com/107849580205256098421,,http://www.linkedin.com/in/dpatil,,http://www.angellist.com/38766,http://www.facebook.com/675433703,2,,
williammcknight,15298751,William McKnight,person,14914,6917,8445,"Increasing maturity and ROI of information. Consultant/Advisor, Speaker/Trainer, Author #NoSQL @TDWI #TEDx #BigData #Analytics #PlayFutbol #OCR","Plano, TX",http://pbs.twimg.com/profile_images/378800000274800927/9e0b4afe6f17ce1340eaaa0a0f87b2a7_normal.jpeg,205,165,0.079357817,2595,3,William,McKnight,North America,United States of America,Texas,,http://www.mcknightcg.com,,,,,,,,http://www.linkedin.com/in/wmcknight,,http://www.angellist.com/349478,http://www.facebook.com/124216477644961,1,,
mikeolson,803694,Mike Olson,person,18246,171,7011,Cloudera Chief Strategy Officer,"Berkeley, California",http://pbs.twimg.com/profile_images/69588222/head_shot_normal.jpg,205,21,0.066727389,3083,2,Mike,Olson,North America,United States of America,California,Los Angeles,http://www.cloudera.com/,,,,,,,,http://ca.linkedin.com/in/michaeljamesolson,,http://www.angellist.com/47524,http://www.facebook.com/647746364,2,,
peteskomoroch,14344469,Peter Skomoroch,person,24353,1471,17302,"Creating intelligent systems to improve information awareness & collaboration. Startup co-founder. Was Principal Data Scientist @LinkedIn, Engineer @AOL, MIT.",San Francisco,http://pbs.twimg.com/profile_images/3276454686/8f8493dfc040e56ef7ff8f59f9474774_normal.jpeg,204,72,0.076488314,2678,6,Peter,Skomoroch,North America,United States of America,California,San Francisco,http://datawrangling.com,http://www.datawrangling.com/rss.xml,,,http://www.pinterest.com/peteskomoroch,http://youtube.com/user/pskomoroch,https://plus.google.com/107102613463848476518,,http://www.linkedin.com/in/skills,http://www.quora.com/peter-skomoroch,http://www.angellist.com/221002,http://www.facebook.com/1392281513,2,,
mjcavaretta,38670441,Michael Cavaretta,person,7651,2744,9819,"Manager, Connected Vehicle Analytics - Ford Motor Co. Opinions are mine. Interests: #BigData, #Datascience, #machinelearning, #dataviz, #IoT",Michigan,http://pbs.twimg.com/profile_images/3641511865/06a74914910ecfbcf220979136ba34f8_normal.jpeg,204,132,0.089737919,2285,4,Michael,Cavaretta,North America,United States of America,Michigan,,http://www.linkedin.com/profile/view?id=17616353&trk=hb_tab_pro_top,,,,,,,,http://www.linkedin.com/pub/michael-cavaretta/13/140/5a0,,,,1,,
randal_olson,49413866,Randy Olson,person,58632,58408,8516,Computer scientist researching artificial intelligence. Data tinkerer. Community leader for @DataIsBeautiful. #OpenScience advocate.,"Philadelphia, PA",http://pbs.twimg.com/profile_images/618964235779862528/nLQhBWfq_normal.jpg,202,212,0.090622489,2240,3,Randy,Olson,North America,United States of America,Pennsylvania,Philadelphia,http://www.randalolson.com,https://randalolson.disqus.com/latest.rss,,,,,,,http://www.linkedin.com/in/olsonrandy,,,http://www.facebook.com/589521695,4,,
waltmossberg,5746452,Walt Mossberg,person,733368,655,9994,"Co-Executive Editor, reviewer and columnist for Re/code. Find us at http://t.co/trFjw6z5Lc. Email me at walt@recode.net.","Washington, DC",http://pbs.twimg.com/profile_images/463735129698205696/lgV8ScFe_normal.jpeg,199,4,0.066131839,3020,3,Walt,Mossberg,North America,United States of America,District of Columbia,Washington,http://recode.net,http://recode.net/feed/,,,,,https://plus.google.com/115955974427854525126,,http://www.linkedin.com/in/tammiehelm,,,http://www.facebook.com/685700062,3,,
DataScienceCtrl,393033324,Data Science Central,company,34990,1093,3147,Data Science Central is the industry's single resource for Big Data practitioners. From Analytics to Data Integration to Visualization - You'll find it here,"Los Angeles, CA",http://pbs.twimg.com/profile_images/1678023092/DSC_Logo_normal.jpg,195,111,0.141210071,1392,2,,Central,North America,United States of America,California,Los Angeles,http://www.DataScienceCentral.com,http://feeds.feedburner.com/FeaturedDiscussions-DataScienceCentral,,,,,,,http://ca.linkedin.com/in/ylecha,,,,2,,
jeffreyfkelly,18484769,Jeff Kelly,person,7715,537,4980,Marketing at join.me,Boston,http://pbs.twimg.com/profile_images/628201648251383808/Nee9DN8u_normal.png,193,39,0.080347147,2413,2,Jeff,Kelly,North America,United States of America,Massachusetts,Boston,https://www.join.me,,,,http://www.pinterest.com/jfkelly0120,http://youtube.com/user/jeffreyfkelly,https://plus.google.com/110615850296043986061,,http://www.linkedin.com/in/kellyjeff,,,http://www.facebook.com/1634756836,1,,
mapr,14335957,MapR Technologies,company,28847,1559,4263,"Follow us to get the best resources and updates on big data, Apache Hadoop in production, and the MapR data platform.",Silicon Valley,http://pbs.twimg.com/profile_images/516804394365358080/8FGYX4IQ_normal.png,193,66,0.072338702,2679,1,,Technologies,North America,United States of America,New Mexico,San Jose,http://www.mapr.com,,,,http://www.pinterest.com/tshiran,,,,http://www.linkedin.com/pub/wayne-cappas/3/80b/8a1,,,http://www.facebook.com/1343081460,1,,
Claudia_Imhoff,16534327,Claudia Imhoff,person,17402,5075,19823,"Consultant/analyst for #businessintelligence (#BI), #bigdata #analytics & the architectures supporting them. Founder of the Boulder BI Brain Trust (#BBBT)","Boulder, CO",http://pbs.twimg.com/profile_images/1797578403/The_best_by_far-1_normal.jpg,189,123,0.075812011,2504,7,Claudia,Imhoff,North America,United States of America,Colorado,,http://www.BBBT.us,http://www.bbbt.us/feed/,,,,,,,http://www.linkedin.com/in/claudiaimhoff,,,http://www.facebook.com/691289392,1,,
TonyBaer,14066062,Tony Baer,person,7935,1036,12484,IT analyst with Ovum covering Big Data & data management with some systems engineering thrown in. Views stated here are my own.,New York,http://pbs.twimg.com/profile_images/1542945976/Tony_Baer__2011__1__normal.jpg,186,84,0.068734897,2717,4,Tony,Baer,North America,United States of America,New York,,http://www.onstrategies.com/blog,http://www.onstrategies.com/blog/feed/,,,,,,,http://www.linkedin.com/in/onstrategies,http://www.quora.com/tony-baer,,http://www.facebook.com/752501097,1,,
NeilRaden,15160685,Neil Raden,person,11343,1699,30086,Founder Hired Brains Research #Analyst #Author #Speaker #Consultant in #Analytics #BigData and how it all works in practice Myth Buster,"Santa Fe, NM",http://pbs.twimg.com/profile_images/458995576227364864/8NXTON65_normal.jpeg,186,93,0.07161808,2608,11,Neil,Raden,North America,United States of America,New Mexico,,http://hiredbrains.wordpress.com,https://hiredbrains.wordpress.com/feed/,,,http://www.pinterest.com/neilraden,,,,http://www.linkedin.com/in/neilraden,http://www.quora.com/neil-raden,,http://www.facebook.com/538171184,1,,
Data_Informed,499107187,Data Informed,company,16872,7141,6152,"Information, news on #bigdata and #analytics for the enterprise","Dedham, MA",http://pbs.twimg.com/profile_images/460798834843463680/S_0F0eSD_normal.jpeg,184,191,0.146724989,1265,4,,Informed,North America,United States of America,Massachusetts,,http://www.data-informed.com,,,,,,,,http://ca.linkedin.com/in/angietarasoff,,,http://www.facebook.com/645547867,1,,
Datafloq,1008658832,Datafloq,company,17239,866,11571,"Big Data is hot and https://t.co/RNNpIxNK4K 
 offers you all the knowledge to better understand it. Follow us to stay up-to-date with #BigData.","The Hague, The Netherlands",http://pbs.twimg.com/profile_images/536690032317194240/qovhrMZO_normal.png,176,110,0.183645625,970,11,,Datafloq,North America,United States of America,Missouri,Netherlands,https://Datafloq.com,https://datafloq.com/read/feed.rss,,,http://www.pinterest.com/vanrijmenam,,https://plus.google.com/114424851277170583982,,http://in.linkedin.com/in/saroctiit,,http://www.angellist.com/mark-van-rijmenam,,1,,
karaswisher,5763262,Kara Swisher,person,1047178,1261,66398,Runs @Recode and finally an employee of someone named Jim.,San Francisco,http://pbs.twimg.com/profile_images/517197689746755584/795gibU7_normal.jpeg,176,14,0.058502261,3020,21,Kara,Swisher,North America,United States of America,California,San Francisco,http://recode.net,http://recode.net/feed/,,,http://www.pinterest.com/karaswisher,http://youtube.com/user/karaswisher,https://plus.google.com/112226108704688540728,,http://www.linkedin.com/pub/kara-swisher/0/13/b72,,http://www.angellist.com/johnbattelle,http://www.facebook.com/505674950,3,,
revodavid,34677653,David Smith,person,15969,1024,6719,"Blogger, R evangelist and Chief Community Officer at Revolution Analytics, a Microsoft company. Proud husband to @nonfamousjay.","Chicago, IL",http://pbs.twimg.com/profile_images/580043996723974144/_Oyvwa9c_normal.jpg,175,81,0.076481805,2299,2,David,Smith,North America,United States of America,Illinois,Chicago,http://blog.revolutionanalytics.com,http://blog.revolutionanalytics.com/rss.xml,,,,,https://plus.google.com/113975782306391318324,,http://www.linkedin.com/in/davidsmith,,,,2,,
AngelaZutavern,2247355933,Angela Zutavern,person,10468,9418,4462,Data Science & Innovation | VP @BoozAllen | Board of Directors @ICE_Foundation | #DataScience #BigData #AdvancedAnalytics #IoT #SocialGood,"Washington, DC",http://pbs.twimg.com/profile_images/538391649521778688/RkO7QrwX_normal.jpeg,172,190,0.290917259,602,7,Angela,Zutavern,North America,United States of America,District of Columbia,Washington,http://www.boozallen.com,,,,,,,,http://www.linkedin.com/in/pub/angela-zutavern/78/1b4/998,,,,4,,
medriscoll,18367054,Michael E. Driscoll,person,13683,1064,1954,"Founder + CEO @Metamarkets.  Investor @DCVC. I _ data, analytics, & visualization.","San Francisco, CA",http://pbs.twimg.com/profile_images/2841959165/e6c4ebca6589b3f11862164694809d58_normal.jpeg,171,51,0.071016656,2419,0,Michael,Driscoll,North America,United States of America,California,San Francisco,http://medriscoll.com/,http://medriscoll.com/rss,,,http://www.pinterest.com/datautopian,http://youtube.com/user/medriscoll,https://plus.google.com/105482615532856433815,http://www.slideshare.com/timoreilly,http://www.linkedin.com/in/medriscoll,http://www.quora.com/michael-e-driscoll,http://www.angellist.com/80020,http://www.facebook.com/625252938,2,,
datagenius,29649822,Krish Krishnan,person,7795,992,13233,"Big Data Evangelist, Data Scientist,DW SME. Author, Strategy Consultant, Speaker, TDWI Faculty, CTO",Chicago,http://pbs.twimg.com/profile_images/3495383153/9698d4cbdbb263ae69e35b7426991b45_normal.jpeg,169,94,0.073362268,2315,5,Krish,Krishnan,North America,United States of America,Illinois,Chicago,http://about.me/krishkrishnan,,,,,,,,http://www.linkedin.com/pub/krish-krishnan/a/954/71a,,,,1,,
edd,12876,Edd Dumbill,person,9992,1334,9601,"Strategy at Silicon Valley Data Science.
Emerging technology analyst. Research associate at the Leading Edge Forum. Incurably curious.",California,http://pbs.twimg.com/profile_images/540951619207057409/lBEx1Qsm_normal.jpeg,165,66,0.051950589,3187,3,Edd,Dumbill,North America,United States of America,California,Los Angeles,http://about.me/edd,,,,http://www.pinterest.com/edumbill,http://youtube.com/user/playlist,https://plus.google.com/114723964985237592593,,http://www.linkedin.com/in/edumbill,http://www.quora.com/edd-dumbill,http://www.angellist.com/9779,http://www.facebook.com/611342463,2,,
GilPress,49383389,Gil Press,person,6952,416,16461,"I launched the #BigData conversation; writing, research, marketing services;  http://t.co/Yi3mq5lLo9 
http://t.co/ZYLDmDfYPj & http://t.co/6MZY64G2bG",Boston,http://pbs.twimg.com/profile_images/3363469318/0ad694a54549d193be036ef6ad5d88be_normal.jpeg,164,60,0.07357202,2240,7,Gil,Press,North America,United States of America,Massachusetts,Boston,,,,,http://www.pinterest.com/gilpress,,https://plus.google.com/110688913441525045763,,http://www.linkedin.com/in/gilpress,,,http://www.facebook.com/702899570,1,,
mrogati,17163609,Monica Rogati,person,14121,422,1456,Data Science advisor. Turning data into products and stories. Former VP of Data @Jawbone & @LinkedIn data scientist. EP @DCVC.,"Sunnyvale, CA",http://pbs.twimg.com/profile_images/615627501197377536/tsqzu_W-_normal.jpg,160,30,0.06509092,2469,0,Monica,Rogati,North America,United States of America,California,,http://www.rogati.com/,,,,http://www.pinterest.com/mrogati,,,,http://www.linkedin.com/in/mrogati,,http://www.angellist.com/282494,,2,,
derrickharris,42480399,Derrick Harris,person,12014,480,4758,Now at Mesosphere. Former senior writer at Gigaom. J.D. Thai boxer.,"Las Vegas, NV",http://pbs.twimg.com/profile_images/458733222554136576/30tcQfsh_normal.jpeg,159,40,0.070478205,2267,2,Derrick,Harris,North America,United States of America,Nevada,Las Vegas,http://derrickharris.co,https://www.blogger.com/feeds/651961634162724863/posts/default,,,,,https://plus.google.com/112455108356534279914,,http://www.linkedin.com/pub/derrick-harris/2/777/ba9,,,http://www.facebook.com/100002151007998,1,,
CIOonline,22873424,CIO.com,company,129323,4514,30916,"http://t.co/QF0Tfbi0gv (an IDG Enterprise brand) delivers the latest news, analysis, video, blogs, tips and research for techies and IT professionals.","Boston, Mass.",http://pbs.twimg.com/profile_images/148674109/new-cio-logo_square_normal.jpg,155,14,0.066303828,2349,13,,CIO.com,North America,United States of America,Massachusetts,Boston,http://www.cio.com,http://www.cio.com/index.rss,,,,,,,http://za.linkedin.com/in/cioforum,,,,3,,
kaggle,80422885,Kaggle,company,31319,123,2109,"The world's largest community of data scientists. Join us to compete, collaborate, learn, and share your work.",San Francisco,http://pbs.twimg.com/profile_images/1146317507/twitter_normal.png,155,17,0.073046916,2133,0,,Kaggle,North America,United States of America,California,San Francisco,http://kaggle.com,,,,,,,,http://www.linkedin.com/in/wcukierski,,,,2,,
v_vashishta,191029020,Vineet Vashishta,company,13899,12885,7983,2X Founder. CEO of @V2_Consulting The #DataScience Company. #PredictiveAnalytics & explaining the irrational parts of decision making. Spinning data into gold.,San Francisco & Reno,http://pbs.twimg.com/profile_images/2311675967/yzhiz5niu8t497rap344_normal.jpeg,154,160,0.086598097,1790,4,,Vashishta,North America,United States of America,California,San Francisco,http://vxvconsulting.com,,,,http://www.pinterest.com/endgameeng,,,,http://www.linkedin.com/in/vineetvashishta,,,,4,,
gruset,26493482,Steen Kjøng Paulsen,company,58123,41422,13027,"Data Scientist with a flair for computing and challenging life. Hadoop, Big Data, BI, Analytics; You name the game, I play it! Also, BI Consultant at @inspari","Aalborg, Denmark",http://pbs.twimg.com/profile_images/564807371222822914/yb0E-cdb_normal.jpeg,154,107,0.066456123,2329,5,,Paulsen,North America,United States of America,Tennessee,Denmark,http://SocialQuant.me,,,,http://www.pinterest.com/steenpaulsen,,,,http://www.linkedin.com/in/spauls,,,http://www.facebook.com/599785991,4,,
ocdqblog,25136114,Jim Harris,person,9485,3206,18850,"An independent consultant, speaker, and freelance writer for hire with 20 years of enterprise data management experience. #DataQuality #DataGovernance #BigData","Des Moines, Iowa",http://pbs.twimg.com/profile_images/459670533127147520/FlB8iEuj_normal.png,153,152,0.065833256,2335,8,Jim,Harris,North America,United States of America,Iowa,,http://www.ocdqblog.com/services,,,,http://www.pinterest.com/ocdqblog,,https://plus.google.com/106495683628010512160,http://www.slideshare.com/ocdqblog,http://www.linkedin.com/in/jimharris,,,http://www.facebook.com/ocdqblog,1,,
howarddresner,29277052,Howard Dresner,person,14385,1783,14425,"Chief Research Officer at Dresner Advisory Services, covering all things Business Intelligence, author, former Gartner Research Fellow",USA,http://pbs.twimg.com/profile_images/378800000209195264/0092626e24423f7fa869e9f5a4ecb2ee_normal.png,153,90,0.06637619,2316,6,Howard,Dresner,North America,United States of America,,,http://www.dresneradvisory.com,,,,,,,,http://uk.linkedin.com/in/simonlevin,,,,1,,
ISpeakAnalytics,543598566,Accenture Analytics,company,51218,1102,12387,"News, opinion, research and events from Accenture Analytics, part of Accenture Digital. Knowing you're succeeding is one thing.Understanding why is even better.",Global,http://pbs.twimg.com/profile_images/615504056987942913/2q9Z-nPo_normal.png,152,105,0.125287712,1224,10,,Analytics,North America,United States of America,Texas,Bounce,http://www.accenture.com/analytics,,,http://www.instagram.com/vickiemax,http://www.pinterest.com/alushlife,http://youtube.com/user/accentureanalytics,https://plus.google.com/100621767552500952857,,http://www.linkedin.com/in/victoriamac,,,http://www.facebook.com/504289373,1,,
TimIntel,499014749,Tim R Allen,person,6598,5152,4464,IT strategy @Intel: #bigdata #BI #cloud #analytics & #hadoop. 20+ years in #datamanagement. #TechTim on Tom's IT Pro. http://t.co/OHqJvsPZvJ Opinions my own.,"Portland, Oregon",http://pbs.twimg.com/profile_images/562397314090680321/iyDeHS1l_normal.jpeg,150,160,0.119604455,1265,3,Tim,Allen,North America,United States of America,Oregon,Portland,,,,,,,,,http://www.linkedin.com/in/davetimmer,,,,4,,
DHenschen,309425789,Doug Henschen,person,6264,654,3843,"Tech analyst @ConstellationRG covering analytics, big data and the drive to use information to improve business decisions.",Northern New Jersey,http://pbs.twimg.com/profile_images/602217453599358976/6wX1f1Ko_normal.jpg,148,65,0.097447199,1530,2,Doug,Henschen,North America,United States of America,New Jersey,Allendale,http://Constellationr.com,,,,,,,,http://www.linkedin.com/in/doughenschen,,,,1,,
MDMGeek,42079656,Prash Chan,company,6953,3034,24558,"Product Marketing Manager. Master Data Management, Data Quality & Data Governance Blogger. Data Science, Hadoop, Big Data & Cloud. Porsche fan. My Opinions!",San Francisco CA,http://pbs.twimg.com/profile_images/1220200142/dilbert_normal.jpg,146,113,0.064656946,2269,10,,Chan,North America,United States of America,California,,http://www.mdmgeek.com/,http://www.mdmgeek.com/feed/,,,http://www.pinterest.com/prashantanc,,https://plus.google.com/115879342016742394589,,http://www.linkedin.com/in/prashantanc,,,http://www.facebook.com/766999971,1,,
SethGrimes,16948477,Seth Grimes,person,10737,197,17390,"Help organizations find business value in enterprise, online & social data, as a consultant, industry analyst & writer. Organize @SentimentSymp, July 15-16 NYC.","Takoma Park, Maryland, USA",http://pbs.twimg.com/profile_images/2526342481/2ymncfagp4o2n3clch3m_normal.jpeg,146,13,0.059125206,2481,7,Seth,Grimes,North America,United States of America,Maryland,Baltimore,http://altaplana.com/sethgrimes.html,,,,http://www.pinterest.com/sethgrimes,,https://plus.google.com/116645881181728684583,,http://www.linkedin.com/in/grimes,http://www.quora.com/seth-grimes,http://www.angellist.com/44419,http://www.facebook.com/666972684,1,,
