,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
28,28,New York,New York,New York City,8066424,sailthru,Advertising & Marketing,79,30,22911,1,7322.1789,9,5,NY,Sailthru
35,35,New York,New York,New York City,17967652,yellowhammer,Advertising & Marketing,27,37,22918,1,6739.9472,9,5,NY,YellowHammer
36,36,New York,New York,New York City,7139438,conductor,Advertising & Marketing,89,38,17365,2,6701.6024,9,5,NY,Conductor
68,68,New York,New York,New York City,27916000,33across,Advertising & Marketing,75,70,22940,1,4499.0115,9,5,NY,33Across
69,69,New York,New York,New York City,6932370,liveintent,Advertising & Marketing,42,71,22941,1,4485.1434,9,5,NY,LiveIntent
245,245,New York,New York,New York City,12393534,gravity-media,Advertising & Marketing,15,250,23067,1,1723.5305,9,5,NY,Gravity Media
412,412,New York,New York,New York City,9369733,grok,Advertising & Marketing,19,418,23181,1,1077.2633,9,5,NY,Grok
496,496,New York,New York,New York City,3698995,largetail,Advertising & Marketing,12,502,23235,1,909.5951,9,5,NY,Largetail
562,562,New York,New York,New York City,3892473,localresponse,Advertising & Marketing,25,568,23274,1,794.2478,9,5,NY,LocalResponse
722,722,New York,New York,New York City,2118667,vector-media-group,Advertising & Marketing,12,728,23354,1,630.4892,9,5,NY,Vector Media Group
824,824,New York,New York,New York City,6565000,launchpad-advertising,Advertising & Marketing,40,830,21281,2,540.4878,9,5,NY,Launchpad Advertising
889,889,New York,New York,New York City,8694000,optimatic-media,Advertising & Marketing,8,896,23427,1,496.7056,9,5,NY,Optimatic Media
1003,1003,New York,New York,New York City,7093708,resolute-digital,Advertising & Marketing,28,1010,5293,1,426.4836,9,5,NY,Resolute Digital
1084,1084,New York,New York,New York City,14190000,blue-fountain-media,Advertising & Marketing,180,1091,19554,3,384.6311,9,5,NY,Blue Fountain Media
1088,1088,New York,New York,New York City,3643783,upsurge-media-group,Advertising & Marketing,2,1095,23511,1,383.6908,9,5,NY,UpSurge Media Group
1122,1122,New York,New York,New York City,5049184,likeable-media,Advertising & Marketing,65,1129,19292,3,371.7678,9,5,NY,Likeable Media
1174,1174,New York,New York,New York City,9546104,sub-rosa,Advertising & Marketing,28,1181,22235,2,356.3531,9,5,NY,Sub Rosa
1286,1286,New York,New York,New York City,14944112,madison-logic,Advertising & Marketing,51,1293,23578,1,314.3931,9,5,NY,Madison Logic
1350,1350,New York,New York,New York City,10303001,elite-sem,Advertising & Marketing,40,1357,17855,4,297.92400000000004,9,5,NY,Elite SEM
1599,1599,New York,New York,New York City,6542518,entermarketing,Advertising & Marketing,35,1609,23687,1,246.5546,9,5,NY,Enter:Marketing
1695,1695,New York,New York,New York City,20933284,mkg,Advertising & Marketing,41,1706,23723,1,227.3902,9,5,NY,MKG
2076,2076,New York,New York,New York City,5563898,react2media,Advertising & Marketing,15,2089,21396,2,177.9952,9,5,NY,React2Media
2195,2195,New York,New York,New York City,25473308,invnt,Advertising & Marketing,44,2209,23902,1,167.399,9,5,NY,inVNT
2356,2356,New York,New York,New York City,4724000,digennaro-communications,Advertising & Marketing,32,2372,22151,3,152.3504,9,5,NY,DiGennaro Communications
2383,2383,New York,New York,New York City,10703827,rain,Advertising & Marketing,74,2399,21962,2,150.6353,9,5,NY,Rain
2389,2389,New York,New York,New York City,9942592,sullivan,Advertising & Marketing,63,2405,4540,4,150.1525,9,5,NY,Sullivan
2701,2701,New York,New York,New York City,9676532,creativefeed,Advertising & Marketing,32,2718,19608,3,128.5274,9,5,NY,CreativeFeed
2734,2734,New York,New York,New York City,13482237,iomedia,Advertising & Marketing,133,2751,24037,1,126.6585,9,5,NY,IOMedia
2813,2813,New York,New York,New York City,9192424,taylor-creative,Advertising & Marketing,35,2831,24059,1,121.7597,9,5,NY,Taylor Creative
3037,3037,New York,New York,New York City,4541808,vhmnetwork,Advertising & Marketing,10,3056,21790,2,109.3082,9,5,NY,VHMnetwork
3098,3098,New York,New York,New York City,8161000,team-epiphany,Advertising & Marketing,37,3117,17976,5,105.8779,9,5,NY,Team Epiphany
3127,3127,New York,New York,New York City,4028850,verge-marketing,Advertising & Marketing,21,3146,24137,3,104.4405,9,5,NY,Verge Marketing
3232,3232,New York,New York,New York City,2251551,modus-associates,Advertising & Marketing,9,3251,24168,1,99.2021,9,5,NY,Modus Associates
3389,3389,New York,New York,New York City,12518123,formula-pr,Advertising & Marketing,92,3410,20418,3,90.8637,9,5,NY,Formula PR
3527,3527,New York,New York,New York City,4095411,influence-graphics,Advertising & Marketing,24,3549,20587,3,85.6999,9,5,NY,Influence Graphics
3572,3572,New York,New York,New York City,5894145,post-beam,Advertising & Marketing,32,3594,24269,1,83.9763,9,5,NY,Post Beam
3995,3995,New York,New York,New York City,15019717,prosek-partners,Advertising & Marketing,62,4020,2717,5,66.7617,9,5,NY,Prosek Partners
4373,4373,New York,New York,New York City,22730737,direct-agents,Advertising & Marketing,47,4399,1078,5,53.7468,9,5,NY,Direct Agents
4406,4406,New York,New York,New York City,27709051,c2c-outdoor,Advertising & Marketing,12,4432,21887,3,52.8434,9,5,NY,C2C Outdoor
4812,4812,New York,New York,New York City,14330000,makovsky,Advertising & Marketing,55,4839,3135,4,39.7503,9,5,NY,Makovsky
4826,4826,New York,New York,New York City,2550000,affect,Advertising & Marketing,18,4853,20011,2,39.4967,9,5,NY,Affect
