,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
7,7,Santa Monica,California,Los Angeles,15598837,los-york,Advertising & Marketing,25,8,42945,1,14404.6093,2,5,CA,Los York
61,61,Scottsdale,Arizona,Phoenix,5509381,sparty-ventures,Advertising & Marketing,5,61,37416,2,4271.6919,46,5,AZ,Sparty Ventures
68,68,Palo Alto,California,San Jose,234189513,applovin,Advertising & Marketing,100,68,42994,1,4132.4686,20,5,CA,AppLovin
87,87,San Jose,California,San Jose,5591094,tapclicks,Advertising & Marketing,96,87,43012,1,3533.9549,20,5,CA,TapClicks
91,91,Shelby Township,Michigan,Detroit,3923396,konnected,Advertising & Marketing,4,91,43015,1,3477.7496,50,5,MI,Konnected
92,92,Deerfield,Florida,Miami,4307737,solar-media-team,Advertising & Marketing,65,92,43016,1,3428.0401,1,5,FL,Solar Media Team
124,124,Portland,Oregon,"Portland, OR",8152899,manifesto-agency,Advertising & Marketing,22,124,43041,1,2769.0217,10,5,OR,Manifesto Agency
135,135,Philadelphia,Pennsylvania,Philadelphia,3524070,pop-promos,Advertising & Marketing,14,135,43051,1,2608.1774,49,5,PA,Pop! Promos
137,137,Grand Rapids,Michigan,"Grand Rapids-Wyoming, MI",8356001,boost-marketing-group,Advertising & Marketing,4,137,43053,1,2559.3852,219,5,MI,Boost Marketing Group
173,173,Hilo,Hawaii,"Hilo, HI",4539927,developing-awareness,Advertising & Marketing,140,173,43079,1,2092.926,953,5,HI,Developing Awareness
178,178,Reno,Nevada,"Reno, NV",5882854,abuv-media,Advertising & Marketing,29,178,43082,1,2071.3958,1013,5,NV,ABUV Media
184,184,Troy,Michigan,Detroit,2520106,traffic,Advertising & Marketing,32,184,43086,1,2021.8729,50,5,MI,TRAFFIC
187,187,Houston,Texas,Houston,2115224,brandnexcom,Advertising & Marketing,20,187,43089,1,1989.4609,22,5,TX,BrandNex.com
198,198,San Mateo,California,San Francisco,66081971,drawbridge,Advertising & Marketing,110,199,36636,2,1902.9896,4,5,CA,Drawbridge
201,201,New York,New York,New York City,18080327,movable-ink,Advertising & Marketing,96,202,43100,1,1897.1509,9,5,NY,Movable Ink
238,238,Columbia,Missouri,"Columbia, MO",4246464,influence-co,Advertising & Marketing,52,239,43131,1,1643.2619,62,5,MO,Influence & Co.
251,251,St. Louis,Missouri,"St. Louis, MO-IL",2443345,linkedselling,Advertising & Marketing,22,252,43139,1,1573.524,74,5,MO,LinkedSelling
