,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,state_s,company
1362,1362,Roswell,Georgia,Atlanta,2174381,qiigo,Advertising & Marketing,23,1373,37377,301.9954,1,GA,Qiigo
1376,1376,Minneapolis,Minnesota,Minneapolis,2029696,rocket-55,Advertising & Marketing,18,1388,37384,298.9527,1,MN,Rocket 55
1381,1381,San Mateo,California,San Francisco,15732367,3q-digital,Advertising & Marketing,111,1393,24606,298.529,2,CA,3Q Digital
1386,1386,Atlanta,Georgia,Atlanta,2911145,vert,Advertising & Marketing,13,1398,25454,295.89799999999997,2,GA,Vert
1403,1403,Port Washington,New York,New York City,3401818,amicus-creative-media,Advertising & Marketing,21,1415,25569,293.4848,2,NY,Amicus Creative Media
1422,1422,JERSEY CITY,New Jersey,New York City,4834147,iquanti,Advertising & Marketing,130,1434,23059,288.8474,3,NJ,iQuanti
1430,1430,Portsmouth,New Hampshire,Boston,2115112,vital,Advertising & Marketing,25,1442,37409,286.8751,1,NH,Vital
1451,1451,New York,New York,New York City,7061108,revimedia,Advertising & Marketing,26,1464,26117,281.6504,2,NY,Revimedia
1452,1452,Chicago,Illinois,Chicago,39721533,rise-interactive,Advertising & Marketing,107,1465,17579,281.3511,6,IL,Rise Interactive
1458,1458,Scottsdale,Arizona,Phoenix,2111852,traffic-exchange-network,Advertising & Marketing,11,1471,37416,280.3494,1,AZ,Traffic Exchange Network
1478,1478,Philadelphia,Pennsylvania,Philadelphia,3582163,trinity-insight,Advertising & Marketing,24,1491,25813,276.0505,2,PA,Trinity Insight
1481,1481,Palm Beach Gardens,Florida,Miami,8197000,levatas,Advertising & Marketing,80,1494,37424,275.1487,1,FL,Levatas
1500,1500,Portland,Oregon,"Portland, OR",5998264,adpearance,Advertising & Marketing,41,1513,37433,270.8559,1,OR,Adpearance
1504,1504,New York,New York,New York City,2047900,ruckus,Advertising & Marketing,14,1517,37434,270.4193,1,NY,Ruckus
1555,1555,Scottsdale,Arizona,Phoenix,5179000,zog-digital,Advertising & Marketing,40,1569,24866,259.6528,2,AZ,ZOG Digital
1556,1556,New York,New York,New York City,23966304,elite-sem,Advertising & Marketing,79,1570,17855,259.5105,6,NY,Elite SEM
1572,1572,Austin,Texas,Austin,4322000,steel-branding,Advertising & Marketing,27,1586,26502,256.0132,2,TX,Steel Branding
1587,1587,New York,New York,New York City,5227745,new-tradition-media,Advertising & Marketing,7,1601,24829,253.8084,2,NY,New Tradition Media
1594,1594,San Diego,California,San Diego,2901014,digital-operative,Advertising & Marketing,28,1608,26367,252.8866,2,CA,Digital Operative
1638,1638,Valencia,California,Los Angeles,42693027,scorpion-design,Advertising & Marketing,204,1652,19778,246.7118,5,CA,Scorpion Design
1639,1639,San Francisco,California,San Francisco,3286837,boca-communications,Advertising & Marketing,30,1653,37488,246.6374,1,CA,BOCA Communications
1642,1642,New York,New York,New York City,4010272,ready-set-rocket,Advertising & Marketing,20,1656,26365,246.2411,2,NY,Ready Set Rocket
1646,1646,Henrietta,New York,"Rochester, NY",13596970,clickspark,Advertising & Marketing,95,1660,25635,245.3638,2,NY,Clickspark
1674,1674,Chicago,Illinois,Chicago,7770741,be-found-online,Advertising & Marketing,28,1688,21419,240.3367,4,IL,Be Found Online
1676,1676,Chicago,Illinois,Chicago,10403320,envisionit,Advertising & Marketing,46,1690,543,240.0388,5,IL,Envisionit
1678,1678,Duluth,Minnesota,"Duluth, MN-WI",7255901,aimclear,Advertising & Marketing,28,1692,21296,239.5935,4,MN,aimClear
1679,1679,Simi Valley,California,"Oxnard-Thousand Oaks-Ventura, CA",11740000,bruce-clay,Advertising & Marketing,108,1693,2309,239.3064,9,CA,Bruce Clay
1685,1685,Eden Prairie,Minnesota,Minneapolis,16858000,sequel-response,Advertising & Marketing,14,1699,25356,238.6501,2,MN,SeQuel Response
1690,1690,Fairfield,California,"Vallejo-Fairfield, CA",3311000,before-the-movie,Advertising & Marketing,16,1704,24842,238.2714,2,CA,Before The Movie
1694,1694,Corte Madera,California,San Francisco,10276453,mogo-marketing-and-media,Advertising & Marketing,32,1708,37506,237.7795,1,CA,Mogo Marketing and Media
1709,1709,Knoxville,Tennessee,"Knoxville, TN",5034000,pyxl,Advertising & Marketing,36,1723,23596,235.3764,3,TN,Pyxl
1717,1717,Syracuse,New York,"Syracuse, NY",16128116,terakeet,Advertising & Marketing,132,1731,37518,232.5711,1,NY,Terakeet
1753,1753,Columbus,Ohio,"Columbus, OH",5278088,im-creative,Advertising & Marketing,11,1767,37528,227.1946,1,OH,IM Creative
1757,1757,Derwood,Maryland,"Washington, DC",11935736,dealeron,Advertising & Marketing,95,1771,20111,226.838,5,MD,DealerOn
1791,1791,McLean,Virginia,"Washington, DC",3331476,surefire-social,Advertising & Marketing,90,1805,26254,220.8068,2,VA,Surefire Social
1817,1817,Greensboro,North Carolina,"Greensboro-High Point, NC",11043575,sfw,Advertising & Marketing,60,1831,22134,216.834,4,NC,SFW
1823,1823,Mohnton,Pennsylvania,"Reading, PA",10621304,mail-shark,Advertising & Marketing,43,1837,21234,216.5474,4,PA,Mail Shark
1828,1828,Brentwood,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",7798370,technologyadvice,Advertising & Marketing,44,1842,25138,215.4908,2,TN,TechnologyAdvice
1832,1832,Saint Louis,Missouri,"St. Louis, MO-IL",3056299,elasticity,Advertising & Marketing,30,1846,24798,214.9778,2,MO,Elasticity
1834,1834,Chapel Hill,North Carolina,"Durham, NC",5195348,3-birds-marketing,Advertising & Marketing,78,1848,37550,214.7351,1,NC,3 Birds Marketing
1852,1852,Philadelphia,Pennsylvania,Philadelphia,3882584,delphic-digital,Advertising & Marketing,39,1866,37558,212.2504,1,PA,Delphic Digital
1867,1867,Seattle,Washington,Seattle,13425000,add3,Advertising & Marketing,30,1881,23209,210.692,3,WA,Add3
1868,1868,Redmond,Washington,Seattle,28982869,driveshop,Advertising & Marketing,128,1882,37565,210.4649,1,WA,DriveShop
1869,1869,Houston,Texas,Houston,3437657,forthea-interactive,Advertising & Marketing,25,1883,37566,210.3693,1,TX,Forthea Interactive
1872,1872,Deerfield Beach,Florida,Miami,27543052,playwire,Advertising & Marketing,60,1886,19287,209.8045,2,FL,Playwire
1877,1877,Oklahoma City,Oklahoma,"Oklahoma City, OK",2122340,jones-public-relations,Advertising & Marketing,16,1891,37567,209.4074,1,OK,Jones Public Relations
1916,1916,Kirkland,Washington,Seattle,43355529,simplicity-consulting,Advertising & Marketing,275,1930,19247,204.5072,5,WA,Simplicity Consulting
1936,1936,Springfield,Ohio,"Springfield, OH",5271313,upward-brand-interactions,Advertising & Marketing,45,1950,26553,202.6144,2,OH,Upward Brand Interactions
1938,1938,Oklahoma City,Oklahoma,"Oklahoma City, OK",7366474,staplegun,Advertising & Marketing,39,1952,37587,202.3796,1,OK,STAPLEGUN
1952,1952,Wellesley,Massachusetts,Boston,4762424,md-connect,Advertising & Marketing,16,1966,23762,200.8552,3,MA,MD Connect
1954,1954,Alexandria,Virginia,"Washington, DC",2353419,silverback-strategies,Advertising & Marketing,15,1968,37593,200.8064,1,VA,Silverback Strategies
1955,1955,Austin,Texas,Austin,2186000,proforma-diversified,Advertising & Marketing,7,1969,25598,200.6878,2,TX,Proforma Diversified
1961,1961,Tucson,Arizona,"Tucson, AZ",2474314,automatit,Advertising & Marketing,21,1975,37596,200.3417,1,AZ,Automatit
1977,1977,Berwyn,Pennsylvania,Philadelphia,28188033,quattro,Advertising & Marketing,47,1992,37604,198.6827,1,PA,Quattro
1979,1979,Downers Grove,Illinois,Chicago,7623436,straight-north,Advertising & Marketing,60,1994,37605,198.3999,1,IL,Straight North
1988,1988,Birmingham,Alabama,"Birmingham-Hoover, AL",3820364,digital-marketing-services,Advertising & Marketing,27,2003,23685,197.0517,3,AL,Digital Marketing Services
1992,1992,Deer Park,Illinois,Chicago,5744740,qcss,Advertising & Marketing,100,2007,23792,196.6662,2,IL,QCSS
1997,1997,San Diego,California,San Diego,13227546,rescue-social-change-group,Advertising & Marketing,88,2012,1170,196.1764,7,CA,Rescue Social Change Group
1999,1999,Harrisburg,Pennsylvania,"Harrisburg-Carlisle, PA",7441404,webpagefx,Advertising & Marketing,68,2014,21696,195.8839,3,PA,WebpageFX
2016,2016,Baltimore,Maryland,Baltimore,4159000,groove-commerce,Advertising & Marketing,50,2030,23924,193.9223,3,MD,Groove Commerce
2021,2021,Miami Lakes,Florida,Miami,2498988,illuminati-studios,Advertising & Marketing,15,2035,37614,193.5769,1,FL,Illuminati Studios
2024,2024,Poway,California,San Diego,5243336,ad-juster,Advertising & Marketing,22,2038,23021,193.47299999999998,3,CA,Ad-Juster
2027,2027,Raleigh,North Carolina,"Raleigh-Cary, NC",11437422,trimark-digital,Advertising & Marketing,30,2041,19467,193.1075,5,NC,TriMark Digital
2030,2030,Scottsdale,Arizona,Phoenix,5354000,colling-media,Advertising & Marketing,14,2044,37619,192.7283,1,AZ,Colling Media
2068,2068,Sioux Falls,South Dakota,"Sioux Falls, SD",3642291,click-rain,Advertising & Marketing,25,2082,23743,188.5026,3,SD,Click Rain
2075,2075,Wichita,Kansas,"Wichita, KS",2919622,rsa-marketing-services,Advertising & Marketing,27,2089,37636,188.0687,1,KS,RSA Marketing Services
2077,2077,Baltimore,Maryland,Baltimore,17785000,planit,Advertising & Marketing,78,2091,9398,188.0162,4,MD,Planit
2107,2107,Citrus Heights,California,"Sacramento--Arden-Arcade--Roseville, CA",5443022,retail-radio,Advertising & Marketing,4,2122,21365,184.1785,4,CA,Retail Radio
2108,2108,Franklin,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",3591253,blink-marketing,Advertising & Marketing,6,2123,26095,183.8027,2,TN,Blink Marketing
2111,2111,Glen Allen,Virginia,"Richmond, VA",7760170,taradel,Advertising & Marketing,20,2126,3794,183.6289,8,VA,Taradel
2119,2119,Evanston,Illinois,Chicago,30855194,l2tmedia,Advertising & Marketing,58,2134,21478,183.2051,4,IL,L2TMedia
2123,2123,Lafayette,Louisiana,"Lafayette, LA",3547818,potenza,Advertising & Marketing,24,2138,26518,183.0761,2,LA,Potenza
2125,2125,Reno,Nevada,"Reno-Sparks, NV",4816216,noble-studios,Advertising & Marketing,43,2140,23771,183.0446,3,NV,Noble Studios
2133,2133,Seattle,Washington,Seattle,2139521,efelle-creative,Advertising & Marketing,28,2148,37655,182.4614,1,WA,Efelle Creative
2146,2146,Portland,Oregon,"Portland, OR",35278655,set,Advertising & Marketing,92,2161,23090,181.015,3,OR,SET
2147,2147,Reston,Virginia,"Washington, DC",27666682,resonate,Advertising & Marketing,92,2162,21146,180.9583,4,VA,Resonate
2157,2157,Phoenix,Arizona,Phoenix,8666743,owens-harkey-advertising,Advertising & Marketing,52,2172,23228,180.2924,3,AZ,Owens Harkey Advertising
2160,2160,Chicago,Illinois,Chicago,7423443,50000feet,Advertising & Marketing,45,2175,26427,179.9987,2,IL,"50,000feet"
2161,2161,Pittsburgh,Pennsylvania,"Pittsburgh, PA",55936070,gatesmandave,Advertising & Marketing,72,2176,23923,179.8823,3,PA,Gatesman+Dave
2169,2169,New York,New York,New York City,3773000,the-kagency,Advertising & Marketing,5,2184,37663,179.4815,1,NY,The Kagency
2172,2172,Minneapolis,Minnesota,Minneapolis,5333421,antenna,Advertising & Marketing,58,2187,26334,179.1918,2,MN,Antenna
2177,2177,San Jose,California,San Jose,3746790,richter102-media-group,Advertising & Marketing,62,2192,23493,178.655,3,CA,Richter10.2 Media Group
2190,2190,Chicago,Illinois,Chicago,4744556,walker-sands-communications,Advertising & Marketing,45,2205,23639,177.382,3,IL,Walker Sands Communications
2192,2192,Seattle,Washington,Seattle,5967544,point-it,Advertising & Marketing,35,2207,22291,177.2407,4,WA,Point It!
2210,2210,San Francisco,California,San Francisco,8208694,highwire-pr,Advertising & Marketing,52,2226,23516,175.2169,3,CA,Highwire PR
2235,2235,Victor,New York,"Rochester, NY",53335541,dixon-schwabl,Advertising & Marketing,85,2251,20592,173.0433,2,NY,Dixon Schwabl
2269,2269,Elkridge,Maryland,Baltimore,2155889,webmechanix,Advertising & Marketing,25,2285,24797,170.1094,2,MD,WebMechanix
2285,2285,Simi Valley,California,"Oxnard-Thousand Oaks-Ventura, CA",2024396,beyond-codes,Advertising & Marketing,225,2301,37688,168.7467,1,CA,Beyond Codes
2303,2303,New York,New York,New York City,26331000,madison-logic,Advertising & Marketing,61,2319,23578,166.1041,3,NY,Madison Logic
2338,2338,Minneapolis,Minnesota,Minneapolis,6973401,gokart-labs,Advertising & Marketing,41,2354,37705,162.1089,1,MN,GoKart Labs
2341,2341,Philadelphia,Pennsylvania,Philadelphia,9484022,seer-interactive,Advertising & Marketing,97,2357,37706,161.808,1,PA,Seer Interactive
2352,2352,Denver,Colorado,"Denver-Aurora, CO",2629325,inflow,Advertising & Marketing,21,2368,37708,160.7146,1,CO,Inflow
2353,2353,Seattle,Washington,Seattle,2539996,shaw-scott,Advertising & Marketing,35,2369,37709,160.6423,1,WA,Shaw + Scott
2356,2356,Cincinnati,Ohio,Cincinnati,14287739,curiosity-advertising,Advertising & Marketing,50,2372,37710,160.2761,1,OH,Curiosity Advertising
2400,2400,Excelsior,Minnesota,Minneapolis,2021333,nordicclick-interactive,Advertising & Marketing,16,2416,24881,155.9719,2,MN,NordicClick Interactive
2402,2402,Boca Raton,Florida,Miami,10145096,citytwist,Advertising & Marketing,105,2418,18025,155.8265,5,FL,Citytwist
2409,2409,Farwell,Minnesota,"Alexandria, MN",4512000,lakes-area-graphix-and-signworx,Advertising & Marketing,32,2425,37726,154.9153,1,MN,Lakes Area Graphix and Signworx
2414,2414,Houston,Texas,Houston,5016739,langrand-and-company,Advertising & Marketing,33,2430,37728,154.5171,1,TX,Langrand and Company
2439,2439,Beaverton,Oregon,"Portland, OR",3099931,brandefined,Advertising & Marketing,30,2455,37734,153.0734,1,OR,Brandefined
2445,2445,New York,New York,New York City,20988829,gravity-media,Advertising & Marketing,40,2461,23067,152.8924,3,NY,Gravity Media
2455,2455,Sioux Falls,South Dakota,"Sioux Falls, SD",2796000,epicosity,Advertising & Marketing,18,2471,37738,152.119,1,SD,Epicosity
2469,2469,Sanford,Florida,"Orlando, FL",10159244,onsight,Advertising & Marketing,91,2485,25833,150.9502,2,FL,OnSight
2504,2504,Webster,New York,"Rochester, NY",39395916,mirror-show-management,Advertising & Marketing,72,2520,4018,148.2128,2,NY,Mirror Show Management
2505,2505,Fort Myers,Florida,"Cape Coral-Fort Myers, FL",3565768,victory-marketing-agency,Advertising & Marketing,21,2521,23544,148.1871,3,FL,Victory Marketing Agency
2513,2513,Cincinnati,Ohio,Cincinnati,12380417,deanhouston,Advertising & Marketing,60,2529,22301,147.59799999999998,4,OH,DeanHouston
2519,2519,southfield,Michigan,Detroit,31437105,prizelogic,Advertising & Marketing,85,2535,21288,146.52,4,MI,prizelogic
2526,2526,Atlanta,Georgia,Atlanta,7867601,arke-systems,Advertising & Marketing,41,2542,23658,145.7861,3,GA,Arke Systems
2527,2527,Brooklyn Heights,Ohio,Cleveland,3154000,proforma-signature-solutions,Advertising & Marketing,5,2544,24002,145.6386,6,OH,Proforma Signature Solutions
2538,2538,Pensacola,Florida,"Pensacola-Ferry Pass-Brent, FL",2088301,footbridge-media,Advertising & Marketing,34,2555,37765,144.4779,1,FL,Footbridge Media
2547,2547,Orlando,Florida,"Orlando, FL",7453886,rich-dealers,Advertising & Marketing,42,2564,21398,143.4637,4,FL,Rich Dealers
2558,2558,New York,New York,New York City,90208341,underscore-marketing,Advertising & Marketing,52,2575,1555,143.2077,5,NY,Underscore Marketing
2563,2563,Palm Desert,California,"Riverside-San Bernardino-Ontario, CA",9087367,cord-media-company,Advertising & Marketing,40,2580,26384,142.9953,2,CA,Cord Media Company
2584,2584,New York,New York,New York City,35505165,dimassimo-goldstein,Advertising & Marketing,48,2601,26474,142.1771,2,NY,DiMassimo Goldstein
2610,2610,San Diego,California,San Diego,55462218,underground-elephant,Advertising & Marketing,71,2627,23335,140.0176,3,CA,Underground Elephant
2615,2615,New York,New York,New York City,49482033,c2c-outdoor,Advertising & Marketing,12,2632,21887,139.8563,5,NY,C2C Outdoor
2618,2618,Washington,District of Columbia,"Washington, DC",11244150,delucchi-plus,Advertising & Marketing,47,2635,37786,139.722,1,DC,Delucchi Plus
2682,2682,Herndon,Virginia,"Washington, DC",18506596,tier10,Advertising & Marketing,70,2700,23473,135.2588,3,VA,Tier10
2686,2686,Warrington,Pennsylvania,Philadelphia,4441763,square-2-marketing,Advertising & Marketing,54,2704,37801,134.7748,1,PA,Square 2 Marketing
2691,2691,Chicago,Illinois,Chicago,34685167,agencyea,Advertising & Marketing,64,2709,22581,134.5051,3,IL,agencyEA
2702,2702,Fort Wayne,Indiana,"Fort Wayne, IN",7962034,britton-marketing-design-group,Advertising & Marketing,47,2720,37802,134.1488,1,IN,Britton Marketing & Design Group
2705,2705,Atlanta,Georgia,Atlanta,2099458,step-logic,Advertising & Marketing,9,2723,37804,134.0118,1,GA,Step Logic
2710,2710,Aurora,Illinois,Chicago,32095667,quality-logo-products,Advertising & Marketing,93,2728,4938,133.534,5,IL,Quality Logo Products
2713,2713,Cleveland,Ohio,Cleveland,5385743,thunder-tech,Advertising & Marketing,48,2731,24092,133.3407,3,OH,Thunder Tech
2738,2738,Nashua,New Hampshire,"Manchester-Nashua, NH",5277733,marketreach,Advertising & Marketing,28,2756,37810,131.5904,1,NH,MarketReach
2748,2748,Salt Lake City,Utah,Salt Lake City,2527961,apt-marketing-solutions,Advertising & Marketing,12,2766,37813,130.7652,1,UT,Apt Marketing Solutions
2752,2752,Columbia,Missouri,"Columbia, MO",73498143,true-media,Advertising & Marketing,81,2770,18124,130.6789,6,MO,True Media
2755,2755,Atlanta,Georgia,Atlanta,31039636,force-marketing,Advertising & Marketing,85,2773,1030,130.5106,7,GA,Force Marketing
2760,2760,Boston,Massachusetts,Boston,26902353,brafton,Advertising & Marketing,371,2779,21016,130.1838,4,MA,Brafton
2765,2765,Palo Alto,California,San Jose,4436704,regalix,Advertising & Marketing,300,2784,37817,129.8845,1,CA,Regalix
2791,2791,Red Bank,New Jersey,New York City,17008268,v12-group,Advertising & Marketing,74,2810,17938,128.4304,6,NJ,V12 Group
2797,2797,New York,New York,New York City,6737254,grok,Advertising & Marketing,19,2816,23181,127.9611,3,NY,Grok
2801,2801,New York,New York,New York City,8986919,launchpad-advertising,Advertising & Marketing,50,2821,21281,127.581,4,NY,Launchpad Advertising
2816,2816,Atlanta,Georgia,Atlanta,21025593,phase-3-marketing-communications,Advertising & Marketing,158,2837,37836,126.5101,1,GA,Phase 3 Marketing & Communications
2831,2831,Worthington,Ohio,"Columbus, OH",9670523,farmer-lumpe-mcclelland-advertising-agency,Advertising & Marketing,48,2852,21547,125.6303,4,OH,"Farmer, Lumpe, & McClelland Advertising Agency"
2835,2835,Atlanta,Georgia,Atlanta,4675000,mashburn-outdoor,Advertising & Marketing,12,2856,24865,125.3012,2,GA,Mashburn Outdoor
2839,2839,St. Louis,Missouri,"St. Louis, MO-IL",24240335,paradowski,Advertising & Marketing,45,2860,25401,125.0736,2,MO,Paradowski
2855,2855,Raleigh,North Carolina,"Raleigh-Cary, NC",5148728,brooks-bell,Advertising & Marketing,32,2877,22355,124.0432,3,NC,Brooks Bell
2861,2861,Apex,North Carolina,"Raleigh-Cary, NC",3108000,autoshop-solutions,Advertising & Marketing,30,2883,23312,123.5537,3,NC,Autoshop Solutions
2882,2882,The Woodlands,Texas,Houston,13379433,bubbleup,Advertising & Marketing,40,2904,21479,121.7046,4,TX,BubbleUp
2889,2889,Oklahoma City,Oklahoma,"Oklahoma City, OK",6860707,saxum,Advertising & Marketing,46,2911,20480,121.3622,5,OK,Saxum
2917,2917,American Fork,Utah,"Provo-Orem, UT",2060322,signcity,Advertising & Marketing,18,2939,37853,119.885,1,UT,SignCity
2946,2946,New York,New York,New York City,116293174,cpxi,Advertising & Marketing,157,2968,152,117.9722,5,NY,CPXi
2951,2951,San Francisco,California,San Francisco,25916084,dwa-media,Advertising & Marketing,35,2973,25312,117.5056,2,CA,DWA Media
2975,2975,Raleigh,North Carolina,"Raleigh-Cary, NC",7040483,le-research,Advertising & Marketing,100,2997,25798,116.4833,2,NC,L&E Research
2990,2990,San Diego,California,San Diego,20196334,motive-interactive,Advertising & Marketing,26,3012,17831,115.7697,3,CA,Motive Interactive
3010,3010,Allentown,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",4874527,liquid-interactive,Advertising & Marketing,35,3032,24295,115.0515,3,PA,Liquid Interactive
3014,3014,Levittown,Pennsylvania,Philadelphia,3955877,1seocom,Advertising & Marketing,35,3036,25792,114.9328,2,PA,1SEO.com
3022,3022,Atlanta,Georgia,Atlanta,6911589,nebo,Advertising & Marketing,53,3044,22017,114.473,5,GA,Nebo
3028,3028,Vernon Hills,Illinois,Chicago,37153239,overture-promotions,Advertising & Marketing,116,3050,26031,114.0765,2,IL,Overture Promotions
3033,3033,Scottsdale,Arizona,Phoenix,23555000,real-world-marketing,Advertising & Marketing,33,3055,37883,113.8059,1,AZ,Real World Marketing
