,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
25,25,Miami,Florida,Miami,13443409,showroom-logic,Advertising & Marketing,90,26,25524,1,8448.5785,1,5,FL,Showroom Logic
30,30,Columbia,Missouri,"Columbia, MO",13326503,adkarma,Advertising & Marketing,33,31,24949,1,7635.2397,62,5,MO,AdKarma
40,40,New York,New York,New York City,5963105,revimedia,Advertising & Marketing,24,41,26117,1,5817.1289,9,5,NY,ReviMedia
53,53,New York,New York,New York City,6261593,crowdtap,Advertising & Marketing,46,54,25453,1,5217.2043,9,5,NY,Crowdtap
60,60,Fort Worth,Texas,Dallas,5764577,pmg-worldwide,Advertising & Marketing,44,61,25914,1,5000.4026,8,5,TX,PMG Worldwide
69,69,Cambridge,Massachusetts,Boston,45929345,everquote,Advertising & Marketing,40,70,24877,1,4669.4024,6,5,MA,EverQuote
72,72,Austin,Texas,Austin,9157664,main-street-hub,Advertising & Marketing,175,73,25018,1,4625.3168,18,5,TX,Main Street Hub
74,74,Scottsdale,Arizona,Phoenix,8815804,ethology,Advertising & Marketing,64,75,26181,1,4219.4187,46,5,AZ,Ethology
78,78,Manhattan Beach,California,Los Angeles,6058237,clean-energy-experts,Advertising & Marketing,53,79,25062,1,4063.5937,2,5,CA,Clean Energy Experts
87,87,Seattle,Washington,Seattle,18904275,tune,Advertising & Marketing,150,88,22933,2,3939.4786,23,5,WA,TUNE
107,107,Granville,Ohio,"Columbus, OH",7268587,revlocal,Advertising & Marketing,146,108,23215,2,3341.7125,19,5,OH,RevLocal
113,113,Los Angeles,California,Los Angeles,52783000,adcolony,Advertising & Marketing,73,114,23197,2,3236.4728,2,5,CA,AdColony
114,114,New York,New York,New York City,23442470,integral-ad-science,Advertising & Marketing,87,115,26395,1,3231.6852,9,5,NY,Integral Ad Science
126,126,New York,New York,New York City,6486000,fueled,Advertising & Marketing,64,128,24789,1,2916.7442,9,5,NY,Fueled
128,128,Howard Beach,New York,New York City,5826876,cpa-trend,Advertising & Marketing,6,130,24852,1,2842.941,9,5,NY,CPA Trend
130,130,Irvine,California,Los Angeles,20289054,29-prime,Advertising & Marketing,200,132,20998,3,2790.9199,2,5,CA,29 Prime
133,133,Cedar Knolls,New Jersey,New York City,72908666,marketsmith,Advertising & Marketing,24,135,23162,2,2752.5555,9,5,NJ,Marketsmith
135,135,Pittsburgh,Pennsylvania,"Pittsburgh, PA",7502709,flying-cork-media,Advertising & Marketing,25,137,24932,1,2745.4166,52,5,PA,Flying Cork Media
139,139,Charleston,South Carolina,"Charleston-North Charleston, SC",8725985,purecars-automotive,Advertising & Marketing,81,141,25749,1,2689.9672,536,5,SC,PureCars Automotive
142,142,San Francisco,California,San Francisco,21040412,liveramp,Advertising & Marketing,53,144,25594,1,2665.2479,4,5,CA,LiveRamp
151,151,Overland Park,Kansas,"Kansas City, MO-KS",6360103,avenue-link,Advertising & Marketing,11,153,26205,1,2564.509,21,5,KS,Avenue Link
168,168,Topsfield,Massachusetts,Boston,4696917,pure-incubation,Advertising & Marketing,27,170,25512,1,2427.7792,6,5,MA,Pure Incubation
170,170,San Jose,California,San Jose,8277000,ensighten,Advertising & Marketing,107,172,26221,1,2415.8055,20,5,CA,Ensighten
173,173,Miami,Florida,Miami,57568000,3aworldwide,Advertising & Marketing,270,175,26180,1,2402.7683,1,5,FL,3A/WorldWide
174,174,Los Angeles,California,Los Angeles,6662008,180fusion,Advertising & Marketing,90,176,25374,1,2379.1819,2,5,CA,180fusion
188,188,Pittsburgh,Pennsylvania,"Pittsburgh, PA",11958616,level-interactive,Advertising & Marketing,35,190,26528,1,2258.7014,52,5,PA,Level Interactive
202,202,New York,New York,New York City,9565336,localresponse,Advertising & Marketing,32,204,23274,2,2152.8937,9,5,NY,LocalResponse
203,203,Santa Monica,California,Los Angeles,8417085,tongal,Advertising & Marketing,36,205,25498,1,2144.0473,2,5,CA,Tongal
235,235,San Francisco,California,San Francisco,2094293,levitate-media,Advertising & Marketing,16,237,26109,1,1923.3738,4,5,CA,Levitate Media
241,241,San Francisco,California,San Francisco,72731000,liverail,Advertising & Marketing,125,243,25001,1,1892.6301,4,5,CA,LiveRail
252,252,Lehi,Utah,"Provo-Orem, UT",22344907,boostability,Advertising & Marketing,360,254,25743,1,1806.2091,48,5,UT,Boostability
253,253,New York,New York,New York City,13031655,solve-media,Advertising & Marketing,42,255,25558,1,1798.0949,9,5,NY,Solve Media
258,258,Needham,Massachusetts,Boston,8711828,acceleration-partners,Advertising & Marketing,29,260,23141,2,1768.0759,6,5,MA,Acceleration Partners
260,260,New York,New York,New York City,34313968,optimatic-media,Advertising & Marketing,16,262,23427,2,1753.3284,9,5,NY,Optimatic Media
274,274,New York,New York,New York City,27119347,accordant-media,Advertising & Marketing,41,276,25951,1,1663.0114,9,5,NY,Accordant Media
275,275,JERSEY CITY,New Jersey,New York City,5001355,iquanti,Advertising & Marketing,100,277,23059,2,1654.4182,9,5,NJ,iQuanti
281,281,Chadds Ford,Pennsylvania,Philadelphia,8168477,freerateupdatecom,Advertising & Marketing,20,283,25636,1,1612.0096,49,5,PA,FreeRateUpdate.com
285,285,Fort Collins,Colorado,"Fort Collins, CO",13325850,madwire,Advertising & Marketing,147,287,22925,2,1593.0873,1009,5,CO,Madwire
290,290,New York,New York,New York City,5577000,upsurge-media-group,Advertising & Marketing,5,292,23511,2,1560.1278,9,5,NY,UpSurge Media Group
296,296,Pompano Beach,Florida,Miami,2064653,morriscore,Advertising & Marketing,35,299,26250,1,1520.2761,1,5,FL,MorrisCore
306,306,Miami,Florida,Miami,2454423,everymundo,Advertising & Marketing,24,309,25732,1,1495.2936,1,5,FL,EveryMundo
308,308,Lake Oswego,Oregon,"Portland, OR",3537094,logical-position,Advertising & Marketing,62,311,26170,1,1486.2973,10,5,OR,Logical Position
325,325,McKinney,Texas,Dallas,5915171,advice-interactive-group,Advertising & Marketing,38,328,21092,3,1420.7893,8,5,TX,Advice Interactive Group
338,338,Mclean,Virginia,"Washington, DC",2904721,surefire-social,Advertising & Marketing,24,341,26254,1,1372.1611,3,5,VA,Surefire Social
345,345,New York,New York,New York City,2163161,the-participation-agency,Advertising & Marketing,5,348,25078,1,1351.7859,9,5,NY,The Participation Agency
354,354,Austin,Texas,Austin,2316514,localsearchfordentistscom,Advertising & Marketing,20,357,25008,1,1324.4513,18,5,TX,LocalSearchForDentists.com
366,366,San Francisco,California,San Francisco,11940799,six-spoke-media,Advertising & Marketing,33,369,24990,1,1290.9639,4,5,CA,Six Spoke Media
375,375,Ramsey,New Jersey,New York City,7136400,rethink-ramsey-nj,Advertising & Marketing,28,378,23147,2,1267.1264,9,5,NJ,"Re:think (Ramsey, NJ)"
383,383,El Segundo,California,Los Angeles,7109209,pk4-media,Advertising & Marketing,18,386,25075,1,1211.9502,2,5,CA,PK4 Media
386,386,New York,New York,New York City,2077365,new-tradition-media,Advertising & Marketing,4,389,24829,1,1208.5764,9,5,NY,New Tradition Media
395,395,Clearwater,Florida,Tampa,2290043,progressive-dental,Advertising & Marketing,10,398,25812,1,1178.9107,7,5,FL,Progressive Dental
397,397,Orlando,Florida,"Orlando, FL",2309500,dg3-media-group,Advertising & Marketing,15,400,25769,1,1176.6722,68,5,FL,DG3 Media Group
403,403,Englewood,Colorado,Denver,2079211,clicks-and-clients,Advertising & Marketing,9,406,25183,1,1163.9888,30,5,CO,Clicks and Clients
414,414,Irvine,California,Los Angeles,2069044,searchmarketerscom,Advertising & Marketing,11,417,25668,1,1136.7712,2,5,CA,SearchMarketers.com
421,421,North Hollywood,California,Los Angeles,12791083,tk-media-direct,Advertising & Marketing,8,424,25543,1,1119.883,2,5,CA,TK Media Direct
425,425,New York,New York,New York City,44707400,mythings,Advertising & Marketing,140,428,25480,1,1100.4565,9,5,NY,myThings
429,429,New York,New York,New York City,52688771,fluent-new-york-ny,Advertising & Marketing,52,432,25124,1,1094.3296,9,5,NY,"Fluent (New York, NY)"
435,435,Boston,Massachusetts,Boston,13164042,fluent-boston-ma,Advertising & Marketing,31,438,23286,2,1080.224,6,5,MA,"Fluent (Boston, MA)"
464,464,Atlanta,Georgia,Atlanta,5701805,mashburn-outdoor,Advertising & Marketing,12,467,24865,1,1009.7108,29,5,GA,Mashburn Outdoor
479,479,Morrisville,North Carolina,"Durham-Chapel Hill, NC",19587732,netsertive,Advertising & Marketing,134,482,23145,2,986.1774,56,5,NC,Netsertive
483,483,Lake Oswego,Oregon,"Portland, OR",3710475,dealer-spike,Advertising & Marketing,103,486,25292,1,978.57,10,5,OR,Dealer Spike
489,489,Saint Louis,Missouri,"St. Louis, MO-IL",5109738,evolve-digital-labs,Advertising & Marketing,11,492,26370,1,968.424,74,5,MO,Evolve Digital Labs
496,496,Westminster,Colorado,Denver,21276600,trueffect,Advertising & Marketing,67,499,23277,2,953.1594,30,5,CO,Trueffect
503,503,Columbus,Ohio,"Columbus, OH",2361047,treetree,Advertising & Marketing,14,506,25651,1,934.304,19,5,OH,treetree
504,504,Port Washington,New York,New York City,3107000,amicus-creative-media,Advertising & Marketing,12,507,25569,1,932.2259,9,5,NY,Amicus Creative Media
538,538,New York,New York,New York City,4220122,social-media-link,Advertising & Marketing,16,541,25251,1,885.3652,9,5,NY,Social Media link
545,545,Atlanta,Georgia,Atlanta,2235662,vert,Advertising & Marketing,13,548,25454,1,873.5465,29,5,GA,Vert
546,546,Bristol,Pennsylvania,Philadelphia,3268050,1seocom-digital-agency,Advertising & Marketing,28,549,25792,1,871.4774,49,5,PA,1SEO.com Digital Agency
557,557,Houston,Texas,Houston,3094109,chief-outsiders,Advertising & Marketing,22,560,24976,1,863.2037,22,5,TX,Chief Outsiders
561,561,Fayetteville,Georgia,Atlanta,2197460,go-advertise-unlimited,Advertising & Marketing,35,564,26460,1,848.6039,29,5,GA,Go Advertise Unlimited
579,579,Boston,Massachusetts,Boston,118351136,dataxu,Advertising & Marketing,240,582,22894,2,823.1993,6,5,MA,DataXu
586,586,Rogers,Arkansas,"Fayetteville-Springdale-Rogers, AR-MO",15584972,collective-bias,Advertising & Marketing,87,589,26172,1,809.9576,235,5,AR,Collective Bias
594,594,New York,New York,New York City,6003584,kettle,Advertising & Marketing,30,597,26281,1,795.5494,9,5,NY,Kettle
598,598,San Luis Obispo,California,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",4190463,hathway,Advertising & Marketing,38,601,25252,1,790.7559,1017,5,CA,Hathway
621,621,Phoenix,Arizona,Phoenix,2846692,zog-digital,Advertising & Marketing,33,624,24866,1,748.0046,46,5,AZ,ZOG Digital
627,627,Orlando,Florida,"Orlando, FL",3103047,dicks-nanton-agency,Advertising & Marketing,12,630,25728,1,740.6266,68,5,FL,Dicks Nanton Agency
664,664,New York,New York,New York City,28089000,exelate,Advertising & Marketing,94,667,26131,1,686.5864,9,5,NY,eXelate
670,670,Boston,Massachusetts,Boston,6580182,wordstream,Advertising & Marketing,78,673,23019,2,676.7654,6,5,MA,WordStream
674,674,San Mateo,California,San Francisco,9642752,3q-digital,Advertising & Marketing,85,677,24606,1,670.6046,4,5,CA,3Q Digital
686,686,San Francisco,California,San Francisco,8161000,retargeter,Advertising & Marketing,25,689,22938,2,657.753,4,5,CA,ReTargeter
690,690,El Segundo,California,Los Angeles,118778000,vantage-media-marketplaces,Advertising & Marketing,138,693,7473,2,655.7295,2,5,CA,Vantage Media Marketplaces
700,700,New York,New York,New York City,3071500,ready-set-rocket,Advertising & Marketing,26,703,26365,1,643.7046,9,5,NY,Ready Set Rocket
719,719,New York,New York,New York City,19106076,gravity-media,Advertising & Marketing,20,722,23067,2,628.9613,9,5,NY,Gravity Media
732,732,Saugus,Massachusetts,Boston,7228351,c-4-analytics,Advertising & Marketing,48,735,22939,2,622.6595,6,5,MA,C-4 Analytics
750,750,Raleigh,North Carolina,"Raleigh, NC",4657984,le-research,Advertising & Marketing,105,753,25798,1,606.2238,1029,5,NC,L&E Research
765,765,saint louis,Missouri,"St. Louis, MO-IL",7462345,abstrakt-marketing-group,Advertising & Marketing,87,768,25227,1,592.9752,74,5,MO,Abstrakt Marketing Group
771,771,Elkridge,Maryland,Baltimore,2447285,webmechanix,Advertising & Marketing,4,774,24797,1,589.9941,35,5,MD,WebMechanix
805,805,South San Francisco,California,San Francisco,19745471,you-technology,Advertising & Marketing,48,808,25395,1,562.6951,4,5,CA,YOU Technology
806,806,Emeryville,California,San Francisco,57214000,tubemogul,Advertising & Marketing,229,809,21080,3,561.9692,4,5,CA,TubeMogul
809,809,Phoenix,Arizona,Phoenix,5804181,owens-harkey-advertising,Advertising & Marketing,32,812,23228,2,561.3773,46,5,AZ,Owens Harkey Advertising
819,819,Vernon Hills,Illinois,Chicago,101932804,hh-global,Advertising & Marketing,153,822,26300,1,552.5357,17,5,IL,HH Global
826,826,Denver,Colorado,Denver,21903400,altitude-digital,Advertising & Marketing,51,829,21011,3,549.2299,30,5,CO,Altitude Digital
827,827,Dallas,Texas,Dallas,11057000,sq1,Advertising & Marketing,140,830,26214,1,548.6604,8,5,TX,Sq1
828,828,Atlanta,Georgia,Atlanta,2219968,cardinal-web-solutions,Advertising & Marketing,25,831,25623,1,548.5768,29,5,GA,Cardinal Web Solutions
840,840,Chicago,Illinois,Chicago,31428000,rise-interactive,Advertising & Marketing,88,843,17579,5,534.5245,17,5,IL,Rise Interactive
844,844,Washington,District of Columbia,"Washington, DC",3891818,beekeeper-group,Advertising & Marketing,23,847,26327,1,530.6246,3,5,DC,Beekeeper Group
854,854,Durham,North Carolina,"Durham, NC",46353000,appia,Advertising & Marketing,85,857,23725,2,525.8844,509,5,NC,Appia
868,868,Washington,District of Columbia,"Washington, DC",2416515,isom-global-strategies,Advertising & Marketing,22,871,26100,1,516.23,3,5,DC,Isom Global Strategies
885,885,San Diego,California,San Diego,17816391,internet-marketing,Advertising & Marketing,75,888,21111,3,503.4604,11,5,CA,Internet Marketing
916,916,Kaukauna,Wisconsin,"Green Bay, WI",7992963,exclusivecpa,Advertising & Marketing,5,919,23403,2,490.1845,282,5,WI,ExclusiveCPA
917,917,New York,New York,New York City,310820958,mediamath,Advertising & Marketing,350,920,21173,2,489.9209,9,5,NY,MediaMath
922,922,New York,New York,New York City,2930153,vector-media-group,Advertising & Marketing,15,925,23354,2,487.0744,9,5,NY,Vector Media Group
926,926,Mountain View,California,San Jose,10043398,ace-metrix,Advertising & Marketing,50,929,25637,1,485.0856,20,5,CA,Ace Metrix
929,929,Idaho Falls,Idaho,"Idaho Falls, ID",6026144,netmark,Advertising & Marketing,65,932,23348,2,483.3171,148,5,ID,Netmark
931,931,Indianapolis,Indiana,"Indianapolis, IN",4771539,trendyminds,Advertising & Marketing,36,934,23065,2,482.7898,81,5,IN,TrendyMinds
941,941,Lynnwood,Washington,Seattle,2795976,richter102-media-group,Advertising & Marketing,45,944,23493,2,477.9019,23,5,WA,Richter10.2 Media Group
945,945,Eden Prairie,Minnesota,Minneapolis,10986534,sequel-response,Advertising & Marketing,11,948,25356,1,476.0575,13,5,MN,SeQuel Response
946,946,Saratoga Springs,New York,"Albany-Schenectady-Troy, NY",18680000,fingerpaint,Advertising & Marketing,92,949,23391,2,475.6549,146,5,NY,Fingerpaint
958,958,Los Angeles,California,Los Angeles,2341603,konnect-agency,Advertising & Marketing,26,961,25049,1,469.5599,2,5,CA,Konnect Agency
963,963,Greenville,South Carolina,"Greenville-Mauldin-Easley, SC",6086228,the-mass-media-group,Advertising & Marketing,4,966,26542,1,467.2308,107,5,SC,The Mass Media Group
965,965,San Francisco,California,San Francisco,37100289,bizo,Advertising & Marketing,133,968,21035,3,465.0702,4,5,CA,Bizo
971,971,Pittsburgh,Pennsylvania,"Pittsburgh, PA",36593517,gatesmandave,Advertising & Marketing,65,974,23923,2,460.2266,52,5,PA,Gatesman+Dave
990,990,Fort Myers,Florida,"Cape Coral-Fort Myers, FL",2946594,victory-agency,Advertising & Marketing,12,993,23544,2,452.9429,246,5,FL,Victory Agency
998,998,Sarasota,Florida,"Panama City-Lynn Haven, FL",7148086,revenue-universe,Advertising & Marketing,4,1001,23547,2,446.55699999999996,572,5,FL,Revenue Universe
999,999,lafayette,Louisiana,"Lafayette, LA",2162537,potenza,Advertising & Marketing,20,1002,26518,1,446.5286,150,5,LA,POTENZA
1005,1005,New York,New York,New York City,5120000,largetail,Advertising & Marketing,23,1008,23235,2,441.7989,9,5,NY,Largetail
1039,1039,Chicago,Illinois,Chicago,7260000,merge-design-interactive,Advertising & Marketing,22,1042,24006,2,427.6163,17,5,IL,Merge Design & Interactive
1043,1043,San Diego,California,San Diego,3436400,vertical-direct-marketing-group,Advertising & Marketing,10,1046,23641,2,426.879,11,5,CA,Vertical Direct Marketing Group
1083,1083,St. Louis Park,Minnesota,Minneapolis,25475142,magnet-360,Advertising & Marketing,98,1086,23140,2,409.9567,13,5,MN,Magnet 360
1084,1084,Sioux Falls,South Dakota,"Sioux Falls, SD",2917565,click-rain,Advertising & Marketing,22,1087,23743,2,409.9096,737,5,SD,Click Rain
1090,1090,Culver City,California,Los Angeles,25053502,omelet,Advertising & Marketing,100,1093,26290,1,406.9462,2,5,CA,Omelet
1107,1107,Miami,Florida,Miami,104318756,ims---internet-media-services,Advertising & Marketing,204,1110,23428,2,400.4386,1,5,FL,IMS - Internet Media Services
1121,1121,Palm Beach Gardens,Florida,Miami,46382270,ads-direct-media,Advertising & Marketing,15,1124,23289,2,392.785,1,5,FL,Ads Direct Media
1131,1131,Saint Louis,Missouri,"St. Louis, MO-IL",2016000,elasticity,Advertising & Marketing,14,1134,24798,1,388.1356,74,5,MO,Elasticity
1134,1134,Irvine,California,Los Angeles,9374748,restoration-media,Advertising & Marketing,29,1138,18155,4,387.2566,2,5,CA,Restoration Media
1136,1136,Westlake Village,California,Los Angeles,2159755,conejo-deals,Advertising & Marketing,2,1140,25056,1,386.656,2,5,CA,Conejo Deals
1137,1137,Hollywood,Florida,Miami,63143000,onekreate,Advertising & Marketing,185,1141,23668,2,386.4638,1,5,FL,OneKreate
1147,1147,Toms River,New Jersey,New York City,14093576,yashi,Advertising & Marketing,25,1151,21527,3,382.4515,9,5,NJ,Yashi
1150,1150,Scottsdale,Arizona,Phoenix,2328408,tempo-creative,Advertising & Marketing,17,1154,26374,1,380.3565,46,5,AZ,Tempo Creative
1156,1156,Orlando,Florida,"Orlando, FL",6938516,rich-dealers,Advertising & Marketing,33,1160,21398,3,377.8424,68,5,FL,Rich Dealers
1158,1158,San Diego,California,San Diego,43951873,underground-elephant,Advertising & Marketing,78,1162,23335,2,376.9917,11,5,CA,Underground Elephant
